MGE Energy PE Ratio Historical Data,MGE Energy PE Ratio Historical Data,MGE Energy PE Ratio Historical Data,MGE Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,92.54,,29.01
2024-06-30,74.33,$3.19,23.3
2024-03-31,77.9,$3.32,23.46
2023-12-31,71.07,$3.25,21.87
2023-09-30,66.95,$3.28,20.41
2023-06-30,76.86,$3.16,24.32
2023-03-31,75.03,$2.97,25.26
2022-12-31,67.62,$3.06,22.1
2022-09-30,62.68,$2.84,22.07
2022-06-30,73.94,$2.88,25.67
2022-03-31,75.44,$2.91,25.92
2021-12-31,77.35,$2.93,26.4
2021-09-30,68.75,$3.01,22.84
2021-06-30,69.3,$2.92,23.73
2021-03-31,66.13,$2.82,23.45
2020-12-31,64.5,$2.60,24.81
2020-09-30,57.4,$2.64,21.74
2020-06-30,58.76,$2.64,22.26
2020-03-31,59.33,$2.56,23.17
2019-12-31,71.09,$2.50,28.44
2019-09-30,71.71,$2.49,28.8
2019-06-30,65.31,$2.46,26.55
2019-03-31,60.44,$2.54,23.79
2018-12-31,53.03,$2.43,21.82
2018-09-30,56.47,$3.00,18.82
2018-06-30,55.48,$2.92,19.0
2018-03-31,49.1,$2.84,17.29
2017-12-31,54.89,$2.82,19.46
2017-09-30,55.92,$2.20,25.42
2017-06-30,55.42,$2.23,24.85
2017-03-31,55.72,$2.25,24.76
2016-12-31,55.71,$2.18,25.56
2016-09-30,47.97,$2.08,23.06
2016-06-30,47.71,$2.10,22.72
2016-03-31,43.86,$2.02,21.71
2015-12-31,38.71,$2.06,18.79
2015-09-30,34.14,$2.18,15.66
2015-06-30,31.85,$2.03,15.69
2015-03-31,36.18,$2.05,17.65
2014-12-31,37.0,$2.32,15.95
2014-09-30,30.03,$2.29,13.11
2014-06-30,31.62,$2.32,13.63
2014-03-31,31.17,$2.31,13.49
2013-12-31,30.36,$2.16,14.03
2013-09-30,28.49,$2.06,13.83
2013-06-30,28.38,$2.04,13.91
2013-03-31,28.52,$2.05,13.89
2012-12-31,26.02,$1.86,13.99
2012-09-30,26.85,$1.83,14.7
2012-06-30,23.78,$1.75,13.56
2012-03-31,22.13,$1.71,12.96
2011-12-31,23.11,$1.76,13.13
2011-09-30,19.92,$1.83,10.86
2011-06-30,19.67,$1.80,10.93
2011-03-31,19.48,$1.77,11.02
2010-12-31,20.38,$1.67,12.23
2010-09-30,18.7,$1.71,10.96
2010-06-30,16.85,$1.50,11.24
2010-03-31,16.36,$1.45,11.26
2009-12-31,16.36,$1.47,11.11
