LTC Properties PE Ratio Historical Data,LTC Properties PE Ratio Historical Data,LTC Properties PE Ratio Historical Data,LTC Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.26,,16.41
2024-06-30,33.96,$2.21,15.37
2024-03-31,31.46,$1.92,16.39
2023-12-31,30.54,$2.16,14.14
2023-09-30,30.02,$1.93,15.55
2023-06-30,30.32,$1.71,17.73
2023-03-31,31.71,$2.92,10.86
2022-12-31,31.56,$2.48,12.73
2022-09-30,32.77,$2.36,13.88
2022-06-30,33.13,$2.32,14.28
2022-03-31,32.7,$1.42,23.02
2021-12-31,28.55,$1.41,20.25
2021-09-30,26.06,$1.54,16.92
2021-06-30,31.07,$1.57,19.79
2021-03-31,33.29,$1.16,28.7
2020-12-31,30.62,$2.41,12.71
2020-09-30,27.02,$2.27,11.9
2020-06-30,28.74,$2.64,10.89
2020-03-31,23.2,$3.10,7.48
2019-12-31,33.11,$2.01,16.47
2019-09-30,37.44,$2.47,15.16
2019-06-30,32.98,$2.67,12.35
2019-03-31,32.67,$3.89,8.4
2018-12-31,29.36,$3.89,7.55
2018-09-30,30.67,$3.62,8.47
2018-06-30,29.33,$3.26,9.0
2018-03-31,25.7,$2.17,11.85
2017-12-31,29.03,$2.20,13.2
2017-09-30,30.93,$2.23,13.87
2017-06-30,33.44,$2.28,14.67
2017-03-31,30.81,$2.22,13.88
2016-12-31,29.85,$2.21,13.51
2016-09-30,32.64,$2.16,15.11
2016-06-30,32.14,$2.11,15.23
2016-03-31,27.79,$2.01,13.83
2015-12-31,26.18,$1.95,13.42
2015-09-30,25.56,$2.04,12.53
2015-06-30,24.63,$1.98,12.44
2015-03-31,26.91,$2.00,13.46
2014-12-31,24.98,$1.99,12.55
2014-09-30,21.08,$1.82,11.58
2014-06-30,22.02,$1.83,12.03
2014-03-31,20.95,$1.69,12.4
2013-12-31,19.43,$1.63,11.92
2013-09-30,20.57,$1.62,12.7
2013-06-30,20.9,$1.53,13.66
2013-03-31,21.57,$1.57,13.74
2012-12-31,18.41,$1.57,11.73
2012-09-30,16.43,$1.57,10.46
2012-06-30,18.47,$1.57,11.76
2012-03-31,16.07,$1.54,10.44
2011-12-31,15.29,$1.34,11.41
2011-09-30,12.36,$1.32,9.36
2011-06-30,13.36,$1.16,11.52
2011-03-31,13.41,$1.12,11.97
2010-12-31,13.09,$1.21,10.82
2010-09-30,11.72,$1.15,10.19
2010-06-30,10.9,$1.25,8.72
2010-03-31,11.98,$1.21,9.9
2009-12-31,11.67,$1.26,9.26
