Equity Commonwealth PE Ratio Historical Data,Equity Commonwealth PE Ratio Historical Data,Equity Commonwealth PE Ratio Historical Data,Equity Commonwealth PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.81,,22.77
2024-06-30,19.4,$0.87,22.3
2024-03-31,18.88,$0.79,23.9
2023-12-31,19.2,$0.76,25.26
2023-09-30,18.37,$0.70,26.24
2023-06-30,20.26,$0.57,35.54
2023-03-31,20.71,$0.46,45.02
2022-12-31,20.81,$0.26,80.05
2022-09-30,20.3,$0.06,338.41
2022-06-30,22.03,$-0.07,0.0
2022-03-31,22.58,$-0.11,0.0
2021-12-31,20.73,$-0.20,0.0
2021-09-30,20.79,$-0.20,0.0
2021-06-30,20.97,$-0.17,0.0
2021-03-31,22.25,$0.07,317.84
2020-12-31,21.83,$3.52,6.2
2020-09-30,21.31,$3.66,5.82
2020-06-30,22.78,$3.85,5.92
2020-03-31,22.43,$5.57,4.03
2019-12-31,23.22,$3.89,5.97
2019-09-30,21.79,$3.89,5.6
2019-06-30,20.68,$3.96,5.22
2019-03-31,20.79,$2.32,8.96
2018-12-31,19.09,$0.46,41.5
2018-09-30,18.8,$0.60,31.34
2018-06-30,18.46,$0.29,63.65
2017-12-31,17.88,$0.17,105.17
2017-09-30,17.81,$0.44,40.49
2017-06-30,18.52,$1.67,11.09
2017-03-31,18.3,$2.40,7.62
2016-12-31,17.72,$2.79,6.35
2018-03-31,17.97,$3.02,5.95
2016-09-30,17.71,$1.82,9.73
2016-06-30,17.07,$1.33,12.83
2016-03-31,16.54,$0.81,20.42
2015-12-31,16.25,$0.55,29.55
2015-09-30,15.96,$-1.01,0.0
2015-06-30,15.04,$-0.03,0.0
2015-03-31,15.56,$-0.21,0.0
2014-12-31,15.04,$-0.18,0.0
2014-09-30,15.07,$0.96,15.69
2014-06-30,15.42,$-2.12,0.0
2014-03-31,15.41,$-1.91,0.0
2013-12-31,13.51,$-1.84,0.0
2013-09-30,12.57,$-3.66,0.0
2013-06-30,13.12,$-1.74,0.0
2013-03-31,12.6,$-1.78,0.0
2012-12-31,8.75,$-1.81,0.0
2012-09-30,7.91,$0.16,49.46
2012-06-30,10.12,$0.34,29.75
2012-03-31,9.59,$0.44,21.79
2011-12-31,8.34,$0.84,9.93
2011-09-30,9.26,$0.92,10.06
2011-06-30,12.37,$1.56,7.93
2011-03-31,12.2,$1.39,8.78
2010-12-31,11.76,$1.27,9.26
2010-09-30,11.58,$0.78,14.84
2010-06-30,11.01,$0.88,12.51
2010-03-31,13.59,$1.76,7.72
2009-12-31,11.3,$1.88,6.01
