California Water Service Group PE Ratio Historical Data,California Water Service Group PE Ratio Historical Data,California Water Service Group PE Ratio Historical Data,California Water Service Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,53.68,,17.72
2024-06-30,48.23,$3.03,15.92
2024-03-31,45.98,$2.50,18.39
2023-12-31,51.01,$0.89,57.31
2023-09-30,46.29,$0.72,64.3
2023-06-30,50.27,$1.15,43.71
2023-03-31,56.4,$1.34,42.09
2022-12-31,58.53,$1.76,33.25
2022-09-30,50.64,$1.48,34.22
2022-06-30,53.17,$1.65,32.22
2022-03-31,56.46,$2.04,27.68
2021-12-31,68.16,$1.96,34.77
2021-09-30,55.69,$2.20,25.31
2021-06-30,52.3,$2.94,17.79
2021-03-31,52.85,$2.30,22.98
2020-12-31,50.48,$2.60,19.41
2020-09-30,40.41,$3.17,12.75
2020-06-30,44.17,$1.58,27.95
2019-12-31,47.34,$1.31,36.13
2019-09-30,48.41,$1.39,34.83
2019-06-30,46.14,$0.09,512.62
2019-03-31,49.46,$0.46,107.52
2018-12-31,43.26,$0.89,48.61
2020-03-31,46.38,$0.52,89.19
2018-09-30,38.78,$1.23,31.53
2018-06-30,35.04,$1.21,28.96
2018-03-31,33.36,$1.33,25.08
2017-12-31,40.41,$1.40,28.86
2017-09-30,33.85,$1.42,23.84
2017-06-30,32.5,$1.20,27.08
2017-03-31,31.5,$1.05,30.0
2016-12-31,29.63,$1.01,29.33
2016-09-30,27.89,$0.88,31.69
2016-06-30,30.2,$0.92,32.82
2016-03-31,22.96,$0.89,25.8
2015-12-31,19.85,$0.94,21.12
2015-09-30,18.73,$1.00,18.73
2015-06-30,19.2,$1.18,16.27
2015-03-31,20.45,$1.33,15.38
2014-12-31,20.4,$1.19,17.14
2014-09-30,18.48,$1.07,17.27
2014-06-30,19.79,$0.98,20.2
2014-03-31,19.43,$0.90,21.59
2013-12-31,18.59,$0.98,18.97
2013-09-30,16.25,$0.98,16.58
2013-06-30,15.49,$1.08,14.34
2013-03-31,15.67,$1.11,14.12
2012-12-31,14.33,$1.18,12.15
2012-09-30,14.43,$1.56,9.25
2012-06-30,14.17,$1.14,12.43
2011-12-31,13.77,$0.90,15.38
2011-09-30,13.24,$0.97,13.65
2011-06-30,13.88,$0.50,27.75
2011-03-31,13.67,$0.70,19.53
2010-12-31,13.59,$0.89,15.35
2012-03-31,13.84,$0.82,16.88
2010-09-30,13.36,$0.95,14.14
2010-06-30,12.8,$0.93,13.84
2010-03-31,13.38,$0.97,13.86
2009-12-31,12.99,$0.98,13.32
