Cullinan Therapeutics PE Ratio Historical Data,Cullinan Therapeutics PE Ratio Historical Data,Cullinan Therapeutics PE Ratio Historical Data,Cullinan Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.37,,0.0
2024-06-30,17.44,$-3.06,0.0
2024-03-31,17.04,$-3.13,0.0
2023-12-31,10.19,$-3.69,0.0
2023-09-30,9.05,$-3.74,0.0
2023-06-30,10.76,$-3.37,0.0
2023-03-31,10.23,$1.22,8.39
2022-12-31,10.55,$2.37,4.45
2022-09-30,12.82,$2.22,5.77
2022-06-30,12.82,$2.36,5.43
2022-03-31,10.47,$-1.77,0.0
2021-12-31,15.43,$-1.50,0.0
