Novagold Resources PE Ratio Historical Data,Novagold Resources PE Ratio Historical Data,Novagold Resources PE Ratio Historical Data,Novagold Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.61,,0.0
2024-08-31,4.25,$-0.13,0.0
2024-05-31,3.93,$-0.13,0.0
2024-02-29,2.48,$-0.13,0.0
2023-11-30,4.2,$-0.13,0.0
2023-08-31,4.12,$-0.14,0.0
2023-05-31,5.15,$-0.16,0.0
2023-02-28,5.59,$-0.16,0.0
2022-11-30,5.77,$-0.16,0.0
2022-08-31,4.43,$-0.15,0.0
2022-05-31,5.59,$-0.14,0.0
2022-02-28,6.98,$-0.13,0.0
2021-11-30,6.75,$-0.12,0.0
2021-08-31,7.23,$-0.11,0.0
2021-05-31,10.26,$-0.11,0.0
2021-02-28,8.35,$-0.10,0.0
2020-11-30,9.96,$-0.10,0.0
2020-08-31,10.59,$-0.10,0.0
2020-05-31,9.56,$-0.08,0.0
2020-02-29,7.98,$-0.08,0.0
2019-11-30,6.96,$-0.08,0.0
2019-08-31,7.44,$-0.08,0.0
2019-05-31,4.05,$-0.33,0.0
2019-02-28,3.97,$-0.34,0.0
2018-11-30,3.67,$-0.35,0.0
2018-08-31,3.67,$-0.36,0.0
2018-05-31,4.84,$-0.11,0.0
2018-02-28,3.96,$-0.10,0.0
2017-11-30,3.85,$-0.10,0.0
2016-11-30,4.58,$-0.10,0.0
2016-08-31,5.15,$-0.10,0.0
2016-05-31,5.38,$-0.10,0.0
2016-02-29,4.96,$-0.10,0.0
2015-11-30,3.74,$-0.10,0.0
2015-08-31,3.73,$-0.10,0.0
2015-05-31,4.09,$-0.12,0.0
2015-02-28,3.72,$-0.12,0.0
2014-11-30,2.76,$-0.12,0.0
2014-08-31,3.95,$-0.16,0.0
2014-05-31,3.01,$-0.15,0.0
2014-02-28,3.69,$-0.17,0.0
2013-11-30,2.34,$-0.22,0.0
2013-05-31,2.52,$-0.24,0.0
2013-02-28,3.99,$0.05,79.8
2012-11-30,4.44,$0.09,49.33
2012-08-31,4.65,$0.01,0.0
2012-05-31,5.66,$-0.15,0.0
2012-02-29,7.52,$-0.44,0.0
2011-11-30,10.41,$-0.66,0.0
2011-08-31,9.33,$-0.62,0.0
2011-05-31,10.38,$-1.01,0.0
2011-02-28,12.4,$-1.05,0.0
2010-11-30,13.03,$-0.92,0.0
2010-08-31,6.73,$-0.80,0.0
2010-05-31,6.49,$-0.26,0.0
2010-02-28,5.27,$-0.22,0.0
2009-11-30,5.06,$-0.14,0.0
2009-08-31,3.52,$-0.31,0.0
2017-02-28,5.29,$-0.29,0.0
2009-05-31,4.65,$-0.29,0.0
2009-02-28,2.59,$-0.30,0.0
