Liberty Broadband PE Ratio Historical Data,Liberty Broadband PE Ratio Historical Data,Liberty Broadband PE Ratio Historical Data,Liberty Broadband PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,80.06,,14.45
2024-06-30,54.82,$5.54,9.9
2024-03-31,57.23,$5.89,9.72
2023-12-31,80.59,$4.67,17.26
2023-09-30,91.32,$4.54,20.11
2023-06-30,80.11,$5.49,14.59
2023-03-31,81.7,$6.65,12.29
2022-12-31,76.27,$7.95,9.59
2022-09-30,73.8,$8.80,8.39
2022-06-30,115.64,$8.04,14.38
2022-03-31,135.32,$5.47,24.74
2021-12-31,161.1,$3.97,40.58
2021-09-30,172.7,$3.30,52.33
2021-06-30,173.66,$2.39,72.66
2021-03-31,150.15,$2.48,60.54
2020-12-31,158.37,$2.17,72.98
2020-09-30,142.87,$1.23,116.15
2020-06-30,123.96,$1.00,123.96
2020-03-31,110.72,$0.68,162.82
2019-12-31,125.75,$0.64,196.48
2019-09-30,104.67,$0.22,475.77
2019-06-30,104.22,$0.40,260.55
2019-03-31,91.74,$0.39,235.23
2018-12-31,72.03,$0.39,184.69
2018-09-30,84.3,$0.31,271.94
2018-06-30,75.72,$-0.07,0.0
2018-03-31,85.69,$-0.15,0.0
2017-12-31,85.16,$-0.15,0.0
2017-09-30,95.3,$0.10,953.0
2017-06-30,86.75,$0.17,510.29
2017-03-31,86.4,$-0.03,0.0
2016-12-31,74.07,$-0.23,0.0
2016-09-30,71.48,$-0.67,0.0
2016-03-31,57.95,$-0.77,0.0
2015-12-31,51.86,$-0.50,0.0
2015-09-30,51.17,$-0.75,0.0
2015-06-30,51.16,$5.72,8.94
