Kura Oncology PE Ratio Historical Data,Kura Oncology PE Ratio Historical Data,Kura Oncology PE Ratio Historical Data,Kura Oncology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.09,,0.0
2024-06-30,20.59,$-2.23,0.0
2024-03-31,21.33,$-2.17,0.0
2023-12-31,14.38,$-2.08,0.0
2023-09-30,9.12,$-2.02,0.0
2023-06-30,10.58,$-2.05,0.0
2023-03-31,12.23,$-2.04,0.0
2022-12-31,12.41,$-2.03,0.0
2022-09-30,13.66,$-2.03,0.0
2022-06-30,18.33,$-2.00,0.0
2022-03-31,16.08,$-1.94,0.0
2021-12-31,14.0,$-1.90,0.0
2021-09-30,18.73,$-1.83,0.0
2021-03-31,28.27,$-1.73,0.0
2020-12-31,32.66,$-1.69,0.0
2020-09-30,30.64,$-1.63,0.0
2020-06-30,16.3,$-1.72,0.0
2020-03-31,9.95,$-1.68,0.0
2019-12-31,13.75,$-1.64,0.0
2021-06-30,20.85,$-1.62,0.0
2019-09-30,15.17,$-1.53,0.0
2019-06-30,19.69,$-1.57,0.0
2019-03-31,16.59,$-1.64,0.0
2018-12-31,14.04,$-1.73,0.0
2018-09-30,17.5,$-1.68,0.0
2018-06-30,18.2,$-1.66,0.0
2018-03-31,18.75,$-1.61,0.0
2017-12-31,15.3,$-1.54,0.0
2017-09-30,14.95,$-1.55,0.0
2017-06-30,9.3,$-1.54,0.0
2017-03-31,8.8,$-1.50,0.0
2016-12-31,5.9,$-1.47,0.0
2016-09-30,6.25,$-1.51,0.0
