Potlatch PE Ratio Historical Data,Potlatch PE Ratio Historical Data,Potlatch PE Ratio Historical Data,Potlatch PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.41,,76.16
2024-03-31,46.06,$0.57,80.81
2023-12-31,47.64,$0.77,61.87
2023-09-30,43.63,$0.82,53.2
2023-06-30,50.32,$0.70,71.88
2023-03-31,46.67,$1.06,44.03
2022-12-31,41.08,$2.58,15.92
2024-06-30,39.0,$4.88,7.99
2022-09-30,37.16,$5.29,7.02
2022-06-30,39.62,$5.62,7.05
2022-03-31,46.88,$5.84,8.03
2021-12-31,53.11,$4.97,10.69
2021-09-30,42.13,$5.59,7.54
2021-03-31,42.57,$4.66,9.13
2020-12-31,39.91,$2.47,16.16
2020-09-30,33.31,$1.16,28.72
2020-06-30,29.81,$2.73,10.92
2020-03-31,24.34,$2.99,8.14
2019-12-31,33.21,$3.49,9.52
2021-06-30,43.06,$3.42,12.59
2019-09-30,31.24,$0.68,45.94
2019-06-30,29.36,$1.31,22.41
2019-03-31,28.14,$1.79,15.72
2018-12-31,23.29,$1.98,11.76
2018-09-30,30.15,$2.23,13.52
2018-06-30,36.24,$2.12,17.09
2018-03-31,36.81,$1.98,18.59
2017-12-31,35.01,$2.10,16.67
2017-09-30,35.51,$2.17,16.36
2017-06-30,31.57,$2.03,15.55
2017-03-31,31.31,$0.67,46.73
2016-12-31,28.3,$0.26,108.84
2016-09-30,26.2,0,0.0
2016-06-30,22.73,$-0.15,0.0
2016-03-31,20.77,$0.64,32.46
2015-12-31,19.67,$0.78,25.22
2015-09-30,18.49,$1.18,15.67
2015-06-30,22.42,$1.46,15.36
2015-03-31,25.16,$1.84,13.67
2014-12-31,26.06,$2.20,11.85
2014-09-30,24.8,$2.05,12.1
2014-06-30,25.32,$1.78,14.22
2014-03-31,23.46,$1.85,12.68
2013-12-31,25.08,$1.73,14.5
2013-09-30,23.64,$1.73,13.66
2013-06-30,23.9,$1.65,14.49
2013-03-31,26.92,$1.31,20.55
2012-12-31,22.82,$1.06,21.53
2012-09-30,21.61,$0.68,31.77
2012-06-30,18.32,$0.85,21.55
2012-03-31,17.78,$0.93,19.12
2011-12-31,17.47,$0.99,17.65
2011-09-30,17.52,$1.26,13.91
2011-06-30,19.3,$1.08,17.87
2011-03-31,21.67,$1.16,18.68
2010-12-31,17.31,$1.00,17.31
2010-09-30,17.8,$0.84,21.19
2010-06-30,18.42,$1.54,11.96
2010-03-31,17.8,$1.34,13.29
2009-12-31,15.95,$1.93,8.27
