NovoCure PE Ratio Historical Data,NovoCure PE Ratio Historical Data,NovoCure PE Ratio Historical Data,NovoCure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.9,,0.0
2024-06-30,17.13,$-1.58,0.0
2024-03-31,15.63,$-1.81,0.0
2023-12-31,14.93,$-1.95,0.0
2023-09-30,16.15,$-1.86,0.0
2023-06-30,41.5,$-1.65,0.0
2023-03-31,60.14,$-1.34,0.0
2022-12-31,73.35,$-0.88,0.0
2022-09-30,75.98,$-0.77,0.0
2022-06-30,69.5,$-0.65,0.0
2022-03-31,82.85,$-0.56,0.0
2021-12-31,75.08,$-0.56,0.0
2021-09-30,116.17,$-0.27,0.0
2021-06-30,221.82,$-0.05,0.0
2021-03-31,132.18,$0.11,1201.64
2020-12-31,173.04,$0.19,910.74
2020-09-30,111.31,$0.19,585.84
2020-06-30,59.3,$0.12,494.17
2020-03-31,67.34,$0.09,748.22
2019-12-31,84.27,$-0.08,0.0
2019-09-30,74.78,$-0.29,0.0
2019-06-30,63.23,$-0.44,0.0
2019-03-31,48.17,$-0.60,0.0
2018-12-31,33.48,$-0.70,0.0
2018-09-30,52.4,$-0.65,0.0
2018-06-30,31.3,$-0.65,0.0
2018-03-31,21.8,$-0.72,0.0
2017-12-31,20.2,$-0.70,0.0
2017-09-30,19.85,$-0.84,0.0
2017-06-30,17.3,$-1.10,0.0
2017-03-31,8.1,$-1.34,0.0
2016-12-31,7.85,$-1.55,0.0
2016-09-30,8.54,$1.25,6.83
