Advantage Solutions PE Ratio Historical Data,Advantage Solutions PE Ratio Historical Data,Advantage Solutions PE Ratio Historical Data,Advantage Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.16,,0.0
2024-06-30,3.22,$-0.35,0.0
2024-03-31,4.33,$-0.07,0.0
2023-12-31,3.62,$-0.20,0.0
2023-09-30,2.84,$-4.72,0.0
2023-06-30,2.34,$-4.58,0.0
2023-03-31,1.58,$-4.54,0.0
2022-12-31,2.08,$-4.33,0.0
2022-09-30,2.13,$0.22,9.68
2022-06-30,3.8,$0.22,17.27
2022-03-31,6.38,$0.21,30.38
2021-12-31,8.02,$0.15,53.47
2021-09-30,8.65,$0.07,123.57
2021-06-30,10.79,$0.11,98.09
2021-03-31,11.81,$0.11,107.36
2020-12-31,13.17,$0.11,119.73
2020-09-30,10.16,$0.11,92.36
2020-06-30,11.05,0,0.0
