Caleres PE Ratio Historical Data,Caleres PE Ratio Historical Data,Caleres PE Ratio Historical Data,Caleres PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.92,,7.34
2024-07-31,38.48,$4.62,8.33
2024-04-30,36.75,$4.72,7.79
2024-01-31,31.25,$4.81,6.5
2023-10-31,25.42,$4.37,5.82
2023-07-31,26.81,$4.13,6.49
2023-04-30,22.53,$4.56,4.94
2023-01-31,25.63,$4.91,5.22
2022-10-31,26.83,$4.66,5.76
2022-07-31,24.3,$5.12,4.75
2022-04-30,22.4,$4.71,4.76
2022-01-31,23.34,$3.55,6.58
2021-10-31,22.37,$0.56,39.95
2021-07-31,23.93,$-0.60,0.0
2021-04-30,22.49,$-2.40,0.0
2021-01-31,14.52,$-11.51,0.0
2020-10-31,7.34,$-9.39,0.0
2020-07-31,5.99,$-9.08,0.0
2020-04-30,7.62,$-7.64,0.0
2020-01-31,16.15,$1.53,10.56
2019-10-31,19.75,$-0.31,0.0
2019-07-31,17.18,$-0.33,0.0
2019-04-30,23.91,$-0.39,0.0
2019-01-31,27.12,$-0.21,0.0
2018-10-31,31.0,$2.09,14.83
2018-07-31,30.3,$2.22,13.65
2018-04-30,29.55,$2.08,14.21
2018-01-31,26.7,$2.03,13.15
2017-10-31,24.57,$1.40,17.55
2017-07-31,24.47,$1.41,17.35
2017-04-30,25.78,$1.46,17.66
2017-01-31,27.44,$1.52,18.05
2016-10-31,22.27,$1.94,11.48
2016-07-31,23.37,$1.91,12.24
2016-04-30,22.32,$1.83,12.2
2016-01-31,23.74,$1.86,12.76
2015-10-31,26.92,$1.97,13.67
2015-07-31,29.04,$1.94,14.97
2015-04-30,26.05,$1.97,13.22
2015-01-31,24.85,$1.88,13.22
2014-10-31,23.21,$1.66,13.98
2014-07-31,24.55,$1.54,15.94
2014-04-30,20.49,$1.48,13.85
2014-01-31,20.52,$1.22,16.82
2013-10-31,19.39,$1.63,11.9
2013-07-31,20.48,$0.94,21.79
2013-01-31,14.74,$0.63,23.4
2012-10-31,13.45,$0.33,40.75
2012-07-31,11.67,$-0.49,0.0
2012-04-30,7.68,$0.36,21.34
2012-01-31,7.91,$0.21,37.66
2013-04-30,14.52,$0.50,29.05
2011-10-31,7.4,$0.84,8.81
2011-07-31,8.31,$0.47,17.67
2011-04-30,10.33,$0.81,12.75
2011-01-31,10.28,$0.85,12.09
2010-10-31,9.49,$1.15,8.25
2010-04-30,15.02,$0.63,23.84
2010-01-31,9.74,$0.22,44.28
2009-10-31,8.19,$-3.58,0.0
2009-07-31,6.07,$-3.84,0.0
