KB Financial Group Inc PE Ratio Historical Data,KB Financial Group Inc PE Ratio Historical Data,KB Financial Group Inc PE Ratio Historical Data,KB Financial Group Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.93,,8.22
2024-06-30,56.61,$8.26,6.85
2024-03-31,51.54,$8.01,6.43
2023-12-31,39.54,$8.82,4.48
2023-09-30,39.29,$8.99,4.37
2023-06-30,34.47,$8.60,4.01
2023-03-31,34.12,$8.35,4.09
2022-12-31,36.22,$8.45,4.29
2022-09-30,27.47,$9.16,3.0
2022-06-30,33.51,$9.62,3.48
2022-03-31,43.55,$9.78,4.45
2021-12-31,40.84,$9.64,4.24
2021-09-30,39.57,$9.60,4.12
2021-06-30,42.03,$9.18,4.58
2021-03-31,41.6,$8.50,4.89
2020-12-31,33.33,$7.21,4.62
2020-09-30,26.0,$7.09,3.67
2020-06-30,22.52,$6.76,3.33
2020-03-31,22.01,$6.88,3.2
2019-12-31,33.49,$7.22,4.64
2019-09-30,27.73,$6.51,4.26
2019-06-30,30.65,$6.64,4.62
2019-03-31,28.77,$6.70,4.29
2018-12-31,32.59,$7.06,4.62
2018-09-30,36.04,$7.83,4.6
2018-06-30,34.7,$7.64,4.54
2018-03-31,43.25,$7.66,5.65
2017-12-31,43.68,$7.30,5.98
2017-09-30,35.51,$7.07,5.02
2017-06-30,36.57,$6.44,5.68
2017-03-31,31.85,$5.51,5.78
2016-12-31,25.56,$4.69,5.45
2016-09-30,24.05,$4.51,5.33
2016-06-30,20.0,$4.13,4.84
2016-03-31,19.39,$3.61,5.37
2015-12-31,19.59,$3.98,4.92
2015-09-30,20.66,$3.64,5.68
2015-06-30,23.1,$3.84,6.02
2015-03-31,24.7,$4.03,6.13
2014-12-31,22.93,$3.53,6.5
2014-09-30,24.94,$3.69,6.76
2014-06-30,23.93,$3.53,6.78
2014-03-31,24.2,$2.93,8.26
2013-12-31,27.89,$2.98,9.36
2013-09-30,23.88,$2.70,8.84
2013-06-30,20.2,$2.65,7.62
2013-03-31,22.53,$3.50,6.44
2012-12-31,24.48,$3.90,6.28
2012-09-30,23.8,$3.98,5.98
2012-06-30,22.04,$4.44,4.96
2012-03-31,24.75,$5.35,4.63
2011-12-31,21.13,$5.90,3.58
2011-09-30,21.76,$6.29,3.46
2011-06-30,31.74,$5.10,6.22
2011-03-31,34.65,$2.14,16.19
2010-12-31,35.12,$1.70,20.66
2010-09-30,28.43,$0.91,31.24
2010-06-30,25.13,$1.15,21.85
2010-03-31,31.8,$2.25,14.14
2009-12-31,33.72,$1.31,25.74
