Janux Therapeutics PE Ratio Historical Data,Janux Therapeutics PE Ratio Historical Data,Janux Therapeutics PE Ratio Historical Data,Janux Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.81,,0.0
2024-06-30,41.89,$-0.91,0.0
2024-03-31,37.65,$-1.22,0.0
2023-12-31,10.73,$-1.34,0.0
2023-09-30,10.08,$-1.48,0.0
2023-06-30,11.87,$-1.63,0.0
2023-03-31,12.1,$-1.62,0.0
2022-12-31,13.17,$-1.52,0.0
2022-09-30,13.54,$-1.46,0.0
2022-06-30,12.21,$-1.32,0.0
2022-03-31,14.34,$-1.53,0.0
