Plexus PE Ratio Historical Data,Plexus PE Ratio Historical Data,Plexus PE Ratio Historical Data,Plexus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,139.56,,35.15
2024-06-30,103.18,$3.97,25.99
2024-03-31,94.82,$3.62,26.19
2023-12-31,108.13,$4.49,24.08
2023-09-30,92.98,$4.94,18.82
2023-06-30,98.24,$5.28,18.61
2023-03-31,97.57,$6.05,16.13
2022-12-31,102.93,$5.55,18.55
2022-09-30,87.56,$4.88,17.94
2022-06-30,78.5,$4.26,18.43
2022-03-31,81.81,$3.88,21.09
2021-12-31,95.89,$4.35,22.04
2021-09-30,89.41,$4.76,18.78
2021-06-30,91.41,$4.86,18.81
2021-03-31,91.84,$5.11,17.97
2020-12-31,78.21,$4.12,18.98
2020-09-30,70.63,$3.92,18.02
2020-06-30,70.56,$3.89,18.14
2020-03-31,54.56,$3.50,15.59
2019-12-31,76.94,$3.86,19.93
2019-09-30,62.51,$3.52,17.76
2019-06-30,58.37,$4.49,13.0
2019-03-31,60.95,$4.47,13.64
2018-12-31,51.08,$4.04,12.64
2018-09-30,58.51,$0.42,139.31
2018-06-30,59.54,$-0.94,0.0
2018-03-31,59.73,$-0.99,0.0
2017-12-31,60.72,$-0.51,0.0
2017-09-30,56.08,$3.24,17.31
2017-06-30,52.57,$2.96,17.76
2017-03-31,57.8,$2.98,19.4
2016-12-31,54.04,$2.64,20.47
2016-09-30,46.78,$2.24,20.88
2016-06-30,43.2,$2.38,18.15
2016-03-31,39.52,$2.31,17.11
2015-12-31,34.92,$2.50,13.97
2015-09-30,38.62,$2.75,14.04
2015-06-30,43.88,$2.82,15.56
2015-03-31,40.77,$2.84,14.36
2014-12-31,41.21,$2.68,15.38
2014-09-30,36.93,$2.52,14.65
2014-06-30,43.29,$2.46,17.6
2014-03-31,40.07,$2.43,16.49
2013-12-31,43.29,$2.42,17.89
2013-09-30,37.16,$2.38,15.61
2013-06-30,29.89,$1.69,17.69
2013-03-31,24.31,$1.67,14.56
2012-12-31,25.8,$1.71,15.09
2012-09-30,30.29,$1.75,17.31
2012-06-30,28.2,$2.25,12.53
2012-03-31,34.99,$2.17,16.12
2011-12-31,27.38,$2.20,12.45
2011-09-30,22.62,$2.30,9.83
2011-06-30,34.81,$2.43,14.33
2011-03-31,35.06,$2.44,14.37
2010-12-31,30.94,$2.36,13.11
2010-09-30,29.35,$2.19,13.4
2010-06-30,26.74,$1.92,13.93
2010-03-31,36.03,$1.56,23.1
2009-12-31,28.48,$1.18,24.14
