ICICI Bank PE Ratio Historical Data,ICICI Bank PE Ratio Historical Data,ICICI Bank PE Ratio Historical Data,ICICI Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.88,,20.2
2024-06-30,28.56,$1.43,19.97
2024-03-31,26.18,$1.39,18.84
2023-12-31,23.64,$1.34,17.64
2023-09-30,22.92,$1.27,18.05
2023-06-30,22.7,$1.19,19.07
2023-03-31,21.22,$1.13,18.78
2022-12-31,21.53,$1.08,19.93
2022-09-30,20.62,$1.03,20.02
2022-06-30,17.34,$0.97,17.88
2022-03-31,18.52,$0.87,21.28
2021-12-31,19.35,$0.80,24.19
2021-09-30,18.45,$0.74,24.93
2021-03-31,15.63,$0.64,24.42
2020-12-31,14.49,$0.50,28.97
2020-09-30,9.58,$0.39,24.57
2020-06-30,9.06,$0.26,34.83
2019-09-30,11.87,$0.22,53.97
2019-06-30,12.24,$0.23,53.23
2019-03-31,11.14,$0.14,79.6
2018-12-31,10.01,$0.15,66.71
2018-09-30,8.26,$0.18,45.87
2018-06-30,7.77,$0.24,32.39
2018-03-31,8.57,$0.34,25.14
2017-09-30,8.29,$0.40,20.72
2017-06-30,8.68,$0.45,19.49
2017-03-31,7.57,$0.45,16.99
2016-12-31,6.59,$0.39,16.86
2016-09-30,6.58,$0.43,15.38
2016-06-30,6.32,$0.43,14.79
2016-03-31,6.17,$0.47,13.05
2015-12-31,6.75,$0.58,11.6
2015-09-30,7.22,$0.57,12.61
2015-06-30,8.98,$0.57,15.88
2015-03-31,8.79,$0.56,15.79
2014-09-30,8.33,$0.56,14.97
2014-06-30,8.21,$0.55,15.0
2014-03-31,7.32,$0.53,13.88
2013-03-31,7.06,$0.49,14.32
2012-12-31,7.17,$0.46,15.59
2012-09-30,6.6,$0.43,15.19
2012-06-30,5.33,$0.45,11.97
2012-03-31,5.61,$0.44,12.81
2011-12-31,4.25,$0.43,9.79
2011-09-30,5.59,$0.59,9.54
2011-06-30,7.93,$0.54,14.59
2011-03-31,7.91,$0.52,15.16
2010-12-31,8.04,$0.49,16.56
2010-09-30,7.91,$0.30,26.07
2010-06-30,5.74,$0.28,20.77
2010-03-31,6.58,$0.25,26.22
2009-09-30,5.94,$0.36,16.59
2009-06-30,4.55,$0.37,12.37
2009-03-31,2.02,$0.44,4.62
2021-06-30,16.67,$0.51,32.86
2017-12-31,9.42,$0.40,23.66
2013-12-31,6.21,$0.39,15.74
