UGI PE Ratio Historical Data,UGI PE Ratio Historical Data,UGI PE Ratio Historical Data,UGI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.86,,7.97
2024-06-30,22.55,$3.12,7.23
2024-03-31,23.77,$-0.41,0.0
2023-12-31,23.46,$-2.20,0.0
2023-09-30,21.59,$-7.18,0.0
2023-06-30,24.93,$-6.66,0.0
2023-03-31,31.7,$-2.93,0.0
2022-12-31,33.47,$0.88,38.03
2022-09-30,28.92,$4.96,5.83
2022-06-30,34.22,$6.26,5.47
2022-03-31,31.81,$7.00,4.54
2021-12-31,39.93,$5.01,7.97
2021-09-30,36.78,$6.91,5.32
2021-06-30,39.66,$4.52,8.77
2021-03-31,34.86,$4.22,8.26
2020-12-31,29.48,$2.96,9.96
2020-09-30,27.55,$2.52,10.93
2020-06-30,26.3,$2.21,11.9
2020-03-31,21.82,$1.79,12.19
2019-12-31,36.59,$2.10,17.42
2019-09-30,40.43,$1.46,27.69
2019-06-30,42.67,$1.87,22.82
2019-03-31,44.02,$2.18,20.19
2018-12-31,42.18,$2.37,17.8
2018-09-30,43.67,$4.08,10.7
2018-06-30,40.79,$3.97,10.27
2018-03-31,34.62,$3.56,9.72
2017-12-31,36.38,$3.23,11.26
2017-09-30,36.12,$2.46,14.68
2017-06-30,37.12,$2.18,17.03
2017-03-31,37.69,$2.63,14.33
2016-12-31,34.99,$2.72,12.86
2016-09-30,34.17,$2.07,16.51
2016-06-30,34.0,$2.27,14.98
2016-03-31,30.11,$1.98,15.2
2015-12-31,25.08,$2.05,12.23
2015-09-30,25.68,$1.59,16.15
2015-06-30,25.24,$1.53,16.5
2015-03-31,23.73,$1.60,14.83
2014-12-31,27.46,$1.43,19.25
2014-09-30,24.51,$1.94,12.65
2014-06-30,24.06,$1.97,12.23
2014-03-31,21.6,$1.93,11.17
2013-12-31,19.51,$1.70,11.47
2013-09-30,18.28,$1.60,11.43
2013-06-30,18.14,$1.59,11.39
2013-03-31,17.68,$1.47,12.05
2012-12-31,14.95,$1.26,11.87
2012-09-30,14.39,$1.17,12.27
2012-06-30,13.23,$1.13,11.74
2012-03-31,12.13,$1.13,10.77
2011-12-31,12.97,$1.22,10.63
2011-09-30,11.48,$1.38,8.32
2011-06-30,13.81,$1.53,9.05
2011-03-31,14.13,$2.52,5.61
2010-12-31,13.46,$2.24,6.01
2010-09-30,12.1,$1.50,8.06
2010-03-31,11.02,$1.47,7.51
2009-12-31,9.96,$1.48,6.73
2009-09-30,10.24,$0.90,11.38
