Angi PE Ratio Historical Data,Angi PE Ratio Historical Data,Angi PE Ratio Historical Data,Angi PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.51,,0.0
2024-06-30,1.92,$-0.01,0.0
2024-03-31,2.62,$-0.05,0.0
2023-12-31,2.49,$-0.08,0.0
2023-09-30,1.98,$-0.18,0.0
2023-06-30,3.3,$-0.20,0.0
2023-03-31,2.27,$-0.22,0.0
2022-12-31,2.35,$-0.26,0.0
2022-09-30,2.95,$-0.20,0.0
2022-06-30,4.58,$-0.20,0.0
2022-03-31,5.67,$-0.21,0.0
2021-12-31,9.21,$-0.14,0.0
2021-09-30,12.34,$-0.12,0.0
2021-06-30,13.52,$-0.08,0.0
2021-03-31,13.0,0,0.0
2020-12-31,13.2,$-0.02,0.0
2020-09-30,11.1,$0.01,1109.5
2020-06-30,12.15,$0.04,303.75
2020-03-31,5.25,$0.03,175.0
2019-12-31,8.47,$0.07,121.0
2019-09-30,7.09,$0.14,50.61
2019-06-30,13.01,$0.15,86.73
2019-03-31,15.44,$0.19,81.26
2018-12-31,16.07,$0.15,107.13
2018-09-30,23.48,$-0.04,0.0
2018-06-30,15.38,$-0.26,0.0
2018-03-31,13.58,$-0.44,0.0
2017-12-31,10.46,$-0.39,0.0
2017-09-30,12.46,$-0.12,0.0
2017-06-30,12.79,$-0.23,0.0
2017-03-31,5.7,$-0.02,0.0
2016-12-31,8.23,$-0.12,0.0
2016-09-30,9.91,$-0.03,0.0
2016-06-30,6.51,$0.25,26.04
2016-03-31,8.07,$0.03,269.0
2015-12-31,9.35,$0.17,55.0
2015-09-30,5.04,$0.19,26.53
2015-06-30,6.16,$0.10,61.6
2015-03-31,5.87,$-0.07,0.0
2014-12-31,6.23,$-0.20,0.0
2014-09-30,6.37,$-0.41,0.0
2014-06-30,11.94,$-0.55,0.0
2014-03-31,12.18,$-0.49,0.0
2013-12-31,15.15,$-0.57,0.0
2013-09-30,22.49,$-0.58,0.0
2013-06-30,26.56,$-0.67,0.0
2013-03-31,19.76,$-0.83,0.0
2012-12-31,11.99,$-0.93,0.0
2012-09-30,10.58,$-1.11,0.0
