Premier PE Ratio Historical Data,Premier PE Ratio Historical Data,Premier PE Ratio Historical Data,Premier PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.99,,19.41
2024-06-30,18.48,$1.03,17.94
2024-03-31,21.63,$0.64,33.8
2023-12-31,21.67,$1.39,15.59
2023-09-30,20.63,$1.48,13.94
2023-06-30,26.28,$1.47,17.88
2023-03-31,30.5,$1.54,19.8
2022-12-31,32.74,$1.47,22.28
2022-09-30,31.57,$1.55,20.37
2022-06-30,32.99,$2.16,15.28
2022-03-31,32.74,$2.31,14.17
2021-12-31,37.66,$2.38,15.82
2021-09-30,35.26,$2.12,16.63
2021-06-30,31.48,$2.57,12.25
2021-03-31,30.46,$1.86,16.37
2020-12-31,31.41,$2.01,15.62
2020-09-30,29.22,$-5.22,0.0
2020-06-30,30.33,$-6.15,0.0
2020-03-31,28.95,$-10.49,0.0
2019-12-31,33.52,$-10.55,0.0
2019-09-30,25.59,$-2.99,0.0
2019-06-30,34.61,$-16.28,0.0
2019-03-31,30.52,$-17.80,0.0
2018-12-31,33.05,$-20.21,0.0
2018-09-30,40.51,$-18.88,0.0
2018-06-30,32.19,$-3.68,0.0
2018-03-31,27.7,$-3.61,0.0
2017-12-31,25.83,$-3.26,0.0
2017-09-30,28.82,$-4.19,0.0
2017-06-30,31.85,$-6.33,0.0
2017-03-31,28.16,$0.07,402.35
2016-12-31,26.86,$2.08,12.92
2016-09-30,28.62,$-0.32,0.0
2016-06-30,28.93,$-0.34,0.0
2016-03-31,29.52,$-2.88,0.0
2015-12-31,31.21,$-13.35,0.0
2015-09-30,30.41,$-12.97,0.0
2015-06-30,34.03,$-15.79,0.0
2015-03-31,33.25,$1.54,21.59
2014-12-31,29.67,$27.88,1.06
2014-09-30,29.08,$28.85,1.01
2014-06-30,25.66,$31.38,0.82
