Materion PE Ratio Historical Data,Materion PE Ratio Historical Data,Materion PE Ratio Historical Data,Materion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,107.16,,28.58
2024-06-30,108.01,$3.75,28.8
2024-03-31,131.44,$3.99,32.94
2023-12-31,129.7,$4.58,28.32
2023-09-30,101.46,$5.03,20.17
2023-06-30,113.55,$4.72,24.06
2023-03-31,115.2,$4.69,24.56
2022-12-31,86.8,$4.14,20.97
2022-09-30,79.24,$3.71,21.36
2022-06-30,72.93,$3.63,20.09
2022-03-31,84.67,$3.38,25.05
2021-12-31,90.53,$3.51,25.79
2021-09-30,67.5,$2.95,22.88
2021-06-30,73.97,$2.39,30.95
2021-03-31,64.93,$1.84,35.29
2020-12-31,62.36,$0.88,70.86
2020-09-30,50.8,$1.20,42.33
2020-06-30,59.92,$1.05,57.07
2020-03-31,34.04,$1.48,23.0
2019-12-31,57.68,$2.45,23.54
2019-09-30,59.43,$0.71,83.7
2019-06-30,65.55,$1.51,43.41
2019-03-31,55.07,$1.30,42.36
2018-12-31,43.34,$0.99,43.78
2018-09-30,58.18,$1.61,36.14
2018-06-30,51.99,$1.10,47.26
2018-03-31,48.92,$0.92,53.17
2017-12-31,46.48,$0.56,83.0
2017-09-30,41.18,$1.30,31.68
2017-06-30,35.6,$1.24,28.71
2017-03-31,31.85,$1.15,27.69
2016-12-31,37.5,$1.27,29.53
2016-09-30,29.0,$1.27,22.83
2016-06-30,23.3,$1.21,19.26
2016-03-31,24.82,$1.37,18.12
2015-12-31,26.15,$1.57,16.66
2015-09-30,27.96,$1.82,15.36
2015-06-30,32.73,$2.08,15.74
2015-03-31,35.6,$2.12,16.79
2014-12-31,32.56,$2.00,16.28
2014-09-30,28.28,$1.60,17.68
2014-06-30,34.02,$1.24,27.44
2014-03-31,31.13,$1.20,25.94
2013-12-31,28.23,$1.18,23.92
2013-09-30,29.25,$1.12,26.12
2013-06-30,24.66,$1.27,19.41
2013-03-31,25.87,$1.22,21.2
2012-12-31,23.34,$0.93,25.09
2012-09-30,21.46,$1.46,14.7
2012-06-30,20.69,$1.74,11.89
2011-12-31,21.74,$1.93,11.27
2011-09-30,20.31,$2.50,8.12
2011-06-30,33.11,$2.15,15.4
2011-03-31,36.54,$2.13,17.15
2010-12-31,34.61,$2.23,15.52
2012-03-31,25.73,$1.95,13.19
2010-09-30,25.47,$1.47,17.33
2010-06-30,17.89,$0.83,21.56
2010-03-31,20.21,$-0.24,0.0
2009-12-31,16.6,$-0.61,0.0
