Masimo PE Ratio Historical Data,Masimo PE Ratio Historical Data,Masimo PE Ratio Historical Data,Masimo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,142.95,,97.24
2024-06-30,125.94,$1.47,85.67
2024-03-31,146.85,$1.47,99.9
2023-12-31,117.21,$1.51,77.62
2023-09-30,87.68,$1.64,53.46
2023-06-30,164.55,$2.14,76.89
2023-03-31,184.54,$2.18,84.65
2022-12-31,147.95,$2.60,56.9
2022-09-30,141.16,$3.02,46.74
2022-06-30,130.67,$3.20,40.83
2022-03-31,145.54,$3.79,38.4
2021-12-31,292.78,$4.19,69.88
2021-06-30,242.45,$3.86,62.81
2021-03-31,229.66,$3.94,58.29
2020-12-31,268.38,$4.14,64.83
2020-09-30,236.06,$3.85,61.31
2020-06-30,227.99,$3.86,59.06
2020-03-31,177.12,$3.69,48.0
2019-12-31,158.06,$3.44,45.95
2019-09-30,148.79,$3.35,44.41
2019-06-30,148.82,$3.51,42.4
2019-03-31,138.28,$3.54,39.06
2018-12-31,107.37,$2.68,40.06
2018-09-30,124.54,$2.55,48.84
2018-03-31,87.95,$2.36,37.27
2017-12-31,84.8,$2.36,35.93
2017-09-30,86.56,$6.32,13.7
2017-06-30,91.18,$6.14,14.85
2017-03-31,93.26,$5.88,15.86
2016-12-31,67.4,$5.59,12.06
2016-09-30,59.49,$2.08,28.6
2016-06-30,52.52,$1.92,27.35
2016-03-31,41.84,$1.71,24.47
2015-12-31,41.51,$1.56,26.61
2015-09-30,38.56,$1.50,25.71
2015-06-30,38.74,$1.41,27.48
2015-03-31,32.98,$1.29,25.57
2014-12-31,26.34,$1.30,20.26
2014-09-30,21.28,$1.06,20.08
2014-06-30,23.6,$1.06,22.26
2014-03-31,27.31,$1.12,24.38
2013-12-31,29.23,$1.01,28.94
2013-09-30,26.64,$1.11,24.0
2013-06-30,21.2,$1.08,19.63
2013-03-31,19.62,$1.08,18.17
2012-12-31,21.01,$1.59,13.21
2012-09-30,23.07,$1.56,14.79
2012-06-30,21.35,$1.56,13.69
2018-06-30,97.65,$1.54,63.41
2011-12-31,17.83,$1.04,17.14
2011-09-30,20.64,$1.07,19.29
2011-06-30,28.32,$1.10,25.74
2011-03-31,31.58,$1.09,28.97
2010-12-31,27.74,$1.04,26.67
2012-03-31,22.31,$1.22,18.28
2010-09-30,25.46,$1.18,21.58
2010-06-30,22.2,$1.13,19.64
2010-03-31,24.75,$1.11,22.3
2009-12-31,26.39,$0.89,29.65
2009-09-30,22.73,$1.66,13.69
