NextNav PE Ratio Historical Data,NextNav PE Ratio Historical Data,NextNav PE Ratio Historical Data,NextNav PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.25,,0.0
2024-06-30,8.11,$-0.85,0.0
2024-03-31,6.58,$-0.79,0.0
2023-12-31,4.45,$-0.66,0.0
2023-09-30,5.14,$-0.63,0.0
2023-06-30,2.94,$-0.60,0.0
2023-03-31,2.03,$-0.44,0.0
2022-12-31,2.93,$-0.39,0.0
2022-09-30,2.69,$-1.53,0.0
2022-06-30,2.27,$-2.92,0.0
2022-03-31,7.49,$-2.93,0.0
2021-12-31,8.76,$-2.83,0.0
2021-09-30,10.12,$-1.57,0.0
