Uranium Energy PE Ratio Historical Data,Uranium Energy PE Ratio Historical Data,Uranium Energy PE Ratio Historical Data,Uranium Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.35,,0.0
2024-07-31,5.93,$-0.06,0.0
2024-04-30,6.75,$-0.03,0.0
2024-01-31,7.64,$-0.01,0.0
2023-10-31,5.95,$0.01,595.0
2023-07-31,3.6,$-0.01,0.0
2023-04-30,2.61,$0.01,261.0
2023-01-31,4.03,$0.07,57.57
2022-10-31,4.21,$0.02,210.5
2022-07-31,4.2,$0.02,210.0
2022-04-30,4.25,$-0.01,0.0
2022-01-31,2.61,$-0.06,0.0
2021-10-31,3.72,$-0.06,0.0
2021-07-31,2.17,$-0.08,0.0
2021-04-30,2.9,$-0.09,0.0
2021-01-31,1.63,$-0.09,0.0
2020-10-31,0.86,$-0.08,0.0
2020-07-31,0.97,$-0.08,0.0
2020-04-30,1.1,$-0.06,0.0
2020-01-31,0.83,$-0.07,0.0
2019-10-31,0.95,$-0.07,0.0
2019-07-31,0.99,$-0.06,0.0
2019-04-30,1.41,$-0.09,0.0
2019-01-31,1.3,$-0.09,0.0
2018-10-31,1.33,$-0.11,0.0
2018-07-31,1.65,$-0.12,0.0
2018-04-30,1.51,$-0.13,0.0
2018-01-31,1.57,$-0.13,0.0
2017-10-31,1.06,$-0.14,0.0
2017-07-31,1.6,$-0.15,0.0
2017-04-30,1.24,$-0.14,0.0
2017-01-31,1.61,$-0.16,0.0
2016-10-31,0.9,$-0.17,0.0
2016-07-31,0.96,$-0.19,0.0
2016-01-31,0.96,$-0.22,0.0
2015-10-31,1.12,$-0.23,0.0
2015-07-31,1.34,$-0.25,0.0
2015-04-30,2.6,$-0.22,0.0
2015-01-31,1.27,$-0.23,0.0
2014-10-31,1.15,$-0.24,0.0
2016-04-30,0.81,$-0.25,0.0
2014-07-31,1.77,$-0.29,0.0
2014-04-30,1.07,$-0.28,0.0
2014-01-31,1.73,$-0.26,0.0
2013-10-31,1.76,$-0.24,0.0
2013-07-31,2.31,$-0.26,0.0
2013-04-30,1.55,$-0.26,0.0
2013-01-31,2.25,$-0.31,0.0
2012-10-31,2.36,$-0.34,0.0
2012-07-31,2.0,$-0.32,0.0
2012-04-30,2.95,$-0.34,0.0
2012-01-31,3.6,$-0.33,0.0
2011-10-31,3.36,$-0.34,0.0
2011-07-31,3.36,$-0.42,0.0
2011-04-30,3.48,$-0.34,0.0
2011-01-31,5.23,$-0.25,0.0
2010-10-31,3.87,$-0.15,0.0
2010-07-31,2.77,0,0.0
2010-04-30,2.86,0,0.0
2010-01-31,3.01,0,0.0
2009-10-31,2.7,0,0.0
