Stevanato Group S.p.A PE Ratio Historical Data,Stevanato Group S.p.A PE Ratio Historical Data,Stevanato Group S.p.A PE Ratio Historical Data,Stevanato Group S.p.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.21,,36.42
2024-06-30,18.34,$0.50,36.68
2024-03-31,32.1,$0.55,58.36
2023-12-31,27.29,$0.59,46.25
2023-09-30,29.72,$0.59,50.37
2023-06-30,32.38,$0.58,55.83
2023-03-31,25.9,$0.57,45.44
2022-12-31,17.97,$0.65,27.65
2022-09-30,16.94,$0.55,30.8
2022-06-30,15.81,$0.52,30.4
