Option Care Health PE Ratio Historical Data,Option Care Health PE Ratio Historical Data,Option Care Health PE Ratio Historical Data,Option Care Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.94,,26.0
2024-06-30,27.7,$1.19,23.28
2024-03-31,33.54,$1.52,22.07
2023-12-31,33.69,$1.47,22.92
2023-09-30,32.35,$1.41,22.94
2023-06-30,32.49,$1.31,24.8
2023-03-31,31.77,$0.87,36.52
2022-12-31,30.09,$0.83,36.25
2022-09-30,31.47,$0.98,32.11
2022-06-30,27.79,$0.97,28.65
2022-03-31,28.56,$0.96,29.75
2021-12-31,28.44,$0.77,36.94
2021-09-30,24.26,$0.46,52.74
2021-06-30,21.87,$0.27,81.0
2021-03-31,17.74,$0.05,354.8
2020-12-31,15.64,$-0.04,0.0
2020-09-30,13.37,$-0.23,0.0
2020-06-30,13.88,$-0.52,0.0
2020-03-31,9.47,$-1.04,0.0
2019-12-31,14.92,$-1.33,0.0
2019-09-30,12.8,$-1.80,0.0
2019-06-30,10.4,$-1.88,0.0
2019-03-31,8.0,$-1.88,0.0
2018-12-31,14.28,$-1.96,0.0
2018-09-30,12.4,$-2.12,0.0
2018-06-30,11.72,$-2.24,0.0
2018-03-31,9.84,$-2.72,0.0
2017-12-31,11.64,$-2.72,0.0
2017-09-30,11.0,$-2.48,0.0
2017-06-30,10.86,$-2.56,0.0
2016-12-31,4.16,$-2.20,0.0
2016-09-30,11.56,$-2.96,0.0
2016-06-30,10.2,$-3.20,0.0
2016-03-31,8.56,$-3.72,0.0
2015-12-31,7.0,$-17.52,0.0
2017-03-31,6.8,$-17.52,0.0
2015-09-30,7.48,$-20.48,0.0
2015-06-30,14.52,$-21.68,0.0
2015-03-31,17.72,$-8.36,0.0
2014-12-31,27.96,$-8.60,0.0
2014-09-30,27.64,$-6.04,0.0
2014-06-30,33.36,$-5.88,0.0
2014-03-31,27.92,$-5.28,0.0
2013-12-31,29.6,$-4.36,0.0
2013-09-30,35.12,$-2.76,0.0
2013-06-30,66.0,$-1.44,0.0
2013-03-31,50.84,$4.28,11.88
2012-12-31,43.08,$4.64,9.28
2012-09-30,36.44,$4.64,7.85
2012-06-30,29.72,$5.48,5.42
2012-03-31,27.16,$0.16,169.75
2011-12-31,21.84,$0.56,39.0
2011-09-30,25.44,$-4.92,0.0
2011-06-30,25.96,$-4.80,0.0
2011-03-31,18.68,$-4.40,0.0
2010-12-31,20.92,$-5.32,0.0
2010-09-30,20.64,$3.64,5.67
2010-06-30,20.96,$4.04,5.19
2010-03-31,31.96,$4.24,7.54
2009-12-31,33.44,$5.28,6.33
