Prospect Capital PE Ratio Historical Data,Prospect Capital PE Ratio Historical Data,Prospect Capital PE Ratio Historical Data,Prospect Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.28,,15.09
2024-06-30,5.35,$0.35,15.27
2024-03-31,5.16,$0.34,15.18
2023-12-31,5.43,$-0.20,0.0
2023-09-30,5.32,$0.11,48.32
2023-06-30,5.29,$-0.39,0.0
2023-03-31,5.77,$-0.50,0.0
2022-12-31,5.66,$0.17,33.29
2022-09-30,4.9,$0.64,7.65
2022-06-30,5.39,$1.45,3.72
2022-03-31,6.23,$2.20,2.83
2021-12-31,6.19,$2.44,2.54
2021-09-30,5.55,$2.59,2.14
2021-06-30,5.91,$2.50,2.37
2021-03-31,5.29,$2.33,2.27
2020-12-31,3.64,$1.18,3.08
2020-09-30,3.27,$0.35,9.35
2020-06-30,3.21,$-0.05,0.0
2020-03-31,2.57,$-0.38,0.0
2019-12-31,3.77,$0.37,10.19
2019-09-30,3.75,$0.22,17.06
2019-06-30,3.62,$0.40,9.05
2019-03-31,3.52,$0.60,5.86
2018-12-31,3.31,$0.50,6.63
2018-09-30,3.82,$1.02,3.74
2018-06-30,3.41,$0.82,4.16
2018-03-31,3.24,$0.65,4.98
2017-12-31,3.24,$0.56,5.79
2017-09-30,3.15,$0.50,6.29
2017-06-30,3.68,$0.70,5.26
2017-03-31,3.98,$0.83,4.8
2016-12-31,3.58,$0.99,3.62
2016-09-30,3.37,$0.44,7.65
2016-06-30,3.16,$0.29,10.88
2016-03-31,2.84,$0.28,10.14
2015-12-31,2.63,$0.30,8.76
2015-09-30,2.59,$0.81,3.2
2015-06-30,2.59,$0.97,2.67
2015-03-31,2.88,$0.92,3.13
2014-12-31,2.72,$0.95,2.87
2014-09-30,3.15,$1.01,3.12
2014-06-30,3.27,$1.08,3.03
2014-03-31,3.22,$1.21,2.66
2013-12-31,3.25,$1.15,2.83
2013-09-30,3.14,$1.09,2.88
2013-06-30,2.95,$1.07,2.76
2013-03-31,2.89,$1.02,2.83
2012-12-31,2.79,$1.26,2.22
2012-09-30,2.88,$1.61,1.79
2012-06-30,2.77,$1.69,1.64
2012-03-31,2.6,$1.68,1.55
2011-12-31,2.14,$1.62,1.32
2011-09-30,1.87,$1.41,1.33
2011-06-30,2.18,$1.38,1.58
2011-03-31,2.56,$1.35,1.9
2010-12-31,2.21,$1.38,1.6
2010-09-30,1.93,$1.29,1.49
2010-06-30,1.86,$1.20,1.55
2010-03-31,2.31,$1.27,1.82
2009-12-31,2.11,$1.25,1.69
