Guardant Health PE Ratio Historical Data,Guardant Health PE Ratio Historical Data,Guardant Health PE Ratio Historical Data,Guardant Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.68,,0.0
2024-06-30,28.88,$-4.09,0.0
2024-03-31,20.63,$-3.92,0.0
2023-12-31,27.05,$-4.28,0.0
2023-09-30,29.64,$-4.06,0.0
2023-06-30,35.8,$-4.91,0.0
2023-03-31,23.44,$-6.49,0.0
2022-12-31,27.2,$-6.40,0.0
2022-09-30,53.83,$-5.93,0.0
2022-06-30,40.34,$-5.41,0.0
2022-03-31,66.24,$-4.12,0.0
2021-12-31,100.02,$-4.00,0.0
2021-09-30,125.01,$-4.05,0.0
2021-06-30,124.19,$-3.77,0.0
2021-03-31,152.65,$-3.38,0.0
2020-12-31,128.88,$-2.58,0.0
2020-09-30,111.78,$-1.91,0.0
2020-06-30,81.13,$-1.27,0.0
2020-03-31,69.6,$-0.83,0.0
2019-12-31,78.14,$-0.84,0.0
2019-09-30,63.83,$-0.87,0.0
