Independence Realty Trust PE Ratio Historical Data,Independence Realty Trust PE Ratio Historical Data,Independence Realty Trust PE Ratio Historical Data,Independence Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.74,,0.0
2024-06-30,18.59,$-0.03,0.0
2024-03-31,15.87,$-0.03,0.0
2023-12-31,14.9,$-0.07,0.0
2023-09-30,13.57,$0.26,52.18
2023-06-30,17.37,$0.31,56.04
2023-03-31,15.15,$0.23,65.87
2022-12-31,15.79,$0.53,29.8
2022-09-30,15.54,$0.61,25.48
2022-06-30,19.1,$0.65,29.38
2022-03-31,24.19,$0.71,34.07
2021-12-31,23.53,$0.38,61.92
2021-09-30,18.44,$0.29,63.6
2021-06-30,16.32,$0.19,85.89
2021-03-31,13.61,$0.17,80.04
2020-12-31,11.93,$0.16,74.55
2020-09-30,10.1,$0.28,36.07
2020-06-30,9.91,$0.32,30.97
2020-03-31,7.54,$0.47,16.05
2019-12-31,11.88,$0.50,23.75
2019-09-30,11.92,$0.40,29.79
2019-06-30,9.52,$0.40,23.79
2019-03-31,8.74,$0.28,31.2
2018-12-31,7.31,$0.33,22.16
2018-09-30,8.08,$0.19,42.51
2018-06-30,7.77,$0.41,18.96
2017-12-31,7.46,$0.43,17.35
2017-09-30,7.39,$-0.26,0.0
2017-06-30,7.04,$-0.24,0.0
2017-03-31,6.56,$-0.46,0.0
2016-12-31,6.13,$0.05,122.57
2018-03-31,6.79,$0.66,10.28
2016-09-30,6.06,$0.71,8.53
2016-06-30,5.4,$1.34,4.03
2016-03-31,4.59,$0.78,5.88
2015-12-31,4.71,$0.77,6.12
2015-09-30,4.42,$0.69,6.4
2015-06-30,4.51,$0.01,450.61
2015-03-31,5.56,$-0.01,0.0
2014-12-31,5.35,$0.19,28.17
2014-09-30,5.46,$0.21,26.0
2014-06-30,5.24,$0.24,21.84
