Bloom Energy PE Ratio Historical Data,Bloom Energy PE Ratio Historical Data,Bloom Energy PE Ratio Historical Data,Bloom Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.16,,0.0
2024-06-30,12.24,$-1.30,0.0
2024-03-31,11.24,$-1.35,0.0
2023-12-31,14.8,$-1.33,0.0
2023-09-30,13.26,$-1.66,0.0
2023-06-30,16.35,$-1.53,0.0
2022-12-31,19.12,$-1.65,0.0
2022-09-30,19.99,$-1.61,0.0
2022-06-30,16.5,$-1.65,0.0
2022-03-31,24.15,$-1.28,0.0
2021-12-31,21.93,$-1.15,0.0
2023-03-31,19.93,$-1.11,0.0
2021-09-30,18.72,$-0.92,0.0
2021-06-30,26.87,$-0.71,0.0
2021-03-31,27.05,$-0.74,0.0
2020-12-31,28.66,$-1.20,0.0
2020-09-30,17.97,$-1.61,0.0
2020-06-30,10.88,$-1.82,0.0
2020-03-31,5.23,$-2.03,0.0
2019-12-31,7.47,$-2.18,0.0
2019-09-30,3.25,$-2.52,0.0
2019-06-30,12.27,$-3.19,0.0
