DRDGOLD PE Ratio Historical Data,DRDGOLD PE Ratio Historical Data,DRDGOLD PE Ratio Historical Data,DRDGOLD PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.42,,inf
2024-06-30,8.5,0,0.0
2023-12-31,7.74,0,0.0
2023-06-30,9.96,0,0.0
2022-12-31,6.83,0,0.0
2022-06-30,5.2,0,0.0
2021-12-31,7.42,0,0.0
2021-06-30,9.23,0,0.0
2019-12-31,4.03,0,0.0
2019-06-30,2.33,0,0.0
2018-12-31,1.59,0,0.0
2018-06-30,1.94,0,0.0
2017-12-31,2.46,0,0.0
2017-06-30,2.35,0,0.0
2016-06-30,4.32,$0.12,36.04
2016-03-31,2.78,$0.15,18.54
2015-12-31,1.09,$0.15,7.29
2015-06-30,1.21,$0.14,8.63
2015-03-31,1.13,$-0.04,0.0
2014-12-31,1.01,$-0.08,0.0
2014-06-30,1.92,$-0.11,0.0
2014-03-31,2.42,$-0.59,0.0
2013-12-31,2.39,$-0.35,0.0
2013-09-30,3.62,$-0.06,0.0
2013-06-30,3.43,$0.23,14.93
2013-03-31,4.94,$0.92,5.37
2012-12-31,4.99,$0.91,5.48
2012-09-30,3.86,$1.03,3.74
2012-06-30,3.98,$1.05,3.79
2012-03-31,4.53,$-0.57,0.0
2011-12-31,3.3,$-0.56,0.0
2011-09-30,3.03,$-0.84,0.0
2011-06-30,2.89,$-1.12,0.0
2011-03-31,3.17,$1.15,2.75
2010-12-31,2.91,$1.01,2.88
2010-09-30,3.06,$0.91,3.36
2010-06-30,2.56,$0.71,3.61
2010-03-31,2.88,$-0.04,0.0
2009-12-31,4.03,$-0.08,0.0
2009-09-30,4.24,$-0.10,0.0
2009-06-30,4.44,$0.09,49.36
