Cinemark Holdings Inc PE Ratio Historical Data,Cinemark Holdings Inc PE Ratio Historical Data,Cinemark Holdings Inc PE Ratio Historical Data,Cinemark Holdings Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.93,,29.82
2024-06-30,21.62,$0.97,22.29
2024-03-31,17.97,$1.45,12.39
2023-12-31,14.09,$1.23,11.46
2023-09-30,18.35,$0.56,32.77
2023-06-30,16.5,$-0.25,0.0
2023-03-31,14.79,$-1.66,0.0
2022-12-31,8.66,$-2.25,0.0
2022-09-30,12.11,$-1.38,0.0
2022-06-30,15.02,$-1.83,0.0
2022-03-31,17.28,$-2.41,0.0
2021-12-31,16.12,$-3.54,0.0
2021-09-30,19.21,$-5.62,0.0
2021-06-30,21.95,$-6.22,0.0
2021-03-31,20.41,$-6.48,0.0
2020-12-31,17.41,$-5.24,0.0
2020-09-30,10.0,$-2.99,0.0
2020-06-30,11.55,$-1.47,0.0
2020-03-31,10.19,$0.84,12.13
2019-12-31,33.33,$1.63,20.45
2019-09-30,37.67,$1.58,23.84
2019-06-30,34.88,$1.74,20.05
2019-03-31,38.29,$1.58,24.23
2018-12-31,33.98,$1.83,18.57
2018-09-30,37.84,$2.48,15.26
2018-06-30,32.74,$2.38,13.75
2018-03-31,34.83,$2.12,16.43
2017-12-31,31.95,$2.27,14.07
2017-09-30,32.96,$2.11,15.62
2017-06-30,35.05,$2.34,14.98
2017-03-31,39.71,$2.36,16.83
2016-12-31,34.12,$2.18,15.65
2016-09-30,33.82,$2.02,16.74
2016-06-30,31.98,$1.86,17.19
2016-03-31,31.19,$2.01,15.52
2015-12-31,28.86,$1.88,15.35
2015-09-30,27.85,$1.79,15.56
2015-06-30,34.19,$1.72,19.88
2015-03-31,38.13,$1.73,22.04
2014-12-31,29.92,$1.67,17.91
2014-09-30,28.43,$1.39,20.45
2014-06-30,29.32,$1.75,16.76
2014-03-31,23.87,$1.31,18.22
2013-12-31,27.19,$1.28,21.24
2013-09-30,25.7,$1.39,18.49
2013-06-30,22.42,$1.11,20.2
2013-03-31,23.47,$1.38,17.01
2012-12-31,20.56,$1.47,13.98
2012-09-30,17.61,$1.39,12.67
2012-06-30,17.78,$1.39,12.79
2012-03-31,16.92,$1.29,13.11
2011-12-31,14.11,$1.14,12.38
2011-09-30,14.26,$1.31,10.88
2011-06-30,15.47,$1.19,13.0
2011-03-31,14.31,$1.19,12.03
2010-12-31,12.61,$1.28,9.85
2010-09-30,11.64,$1.31,8.89
2010-06-30,9.4,$1.21,7.77
2010-03-31,12.95,$1.03,12.57
2009-12-31,10.04,$0.88,11.41
