Ingevity PE Ratio Historical Data,Ingevity PE Ratio Historical Data,Ingevity PE Ratio Historical Data,Ingevity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.5,,0.0
2024-06-30,43.71,$-11.89,0.0
2024-03-31,47.7,$-3.11,0.0
2023-12-31,47.22,$-0.22,0.0
2023-09-30,47.61,$3.42,13.92
2023-06-30,58.16,$4.71,12.35
2023-03-31,71.52,$5.28,13.55
2022-12-31,70.44,$5.48,12.85
2022-09-30,60.63,$5.81,10.44
2022-06-30,63.14,$3.72,16.97
2022-03-31,64.07,$3.28,19.53
2021-12-31,71.7,$2.93,24.47
2021-09-30,71.37,$3.42,20.87
2021-06-30,81.36,$5.22,15.59
2021-03-31,75.53,$4.61,16.38
2020-12-31,75.73,$4.49,16.87
2020-09-30,49.44,$4.31,11.47
2020-06-30,52.57,$4.03,13.04
2020-03-31,35.2,$4.88,7.21
2019-12-31,87.38,$4.34,20.13
2019-09-30,84.84,$4.28,19.82
2019-06-30,105.17,$4.03,26.1
2019-03-31,105.61,$3.79,27.87
2018-12-31,83.69,$3.97,21.08
2018-09-30,101.88,$3.95,25.79
2018-06-30,80.86,$3.58,22.59
2018-03-31,73.69,$3.24,22.74
2017-12-31,70.47,$2.97,23.73
2017-09-30,62.47,$2.22,28.14
2017-06-30,57.4,$1.26,45.56
2017-03-31,60.85,$1.06,57.41
