Home BancShares PE Ratio Historical Data,Home BancShares PE Ratio Historical Data,Home BancShares PE Ratio Historical Data,Home BancShares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.98,,18.74
2024-09-30,27.09,$1.44,18.81
2024-06-30,23.78,$1.93,12.32
2024-03-31,24.21,$1.94,12.48
2023-12-31,24.76,$1.95,12.7
2023-09-30,20.3,$2.09,9.72
2023-06-30,21.93,$2.13,10.3
2023-03-31,20.7,$1.69,12.25
2022-12-31,21.57,$1.58,13.65
2022-09-30,21.17,$1.46,14.5
2022-06-30,19.41,$1.39,13.96
2022-03-31,20.95,$1.79,11.71
2021-12-31,22.42,$1.94,11.56
2021-09-30,21.55,$1.99,10.83
2021-06-30,22.46,$1.95,11.52
2021-03-31,24.49,$1.85,13.24
2020-12-31,17.53,$1.30,13.49
2020-09-30,13.54,$1.24,10.92
2020-06-30,13.64,$1.26,10.83
2020-03-31,10.53,$1.31,8.04
2019-12-31,17.15,$1.73,9.91
2019-09-30,16.28,$1.70,9.58
2019-06-30,16.57,$1.72,9.63
2019-03-31,15.01,$1.73,8.67
2018-12-31,13.87,$1.73,8.02
2018-09-30,18.48,$1.45,12.74
2018-06-30,18.94,$1.09,17.37
2018-03-31,19.06,$1.00,19.06
2017-12-31,19.33,$0.91,21.25
2017-09-30,20.87,$1.13,18.47
2017-06-30,20.51,$1.34,15.3
2017-03-31,22.22,$1.30,17.09
2016-12-31,22.71,$1.27,17.96
2016-09-30,16.96,$1.19,14.31
2016-06-30,16.06,$1.14,14.15
2016-03-31,16.55,$1.08,15.39
2015-12-31,16.31,$1.01,16.15
2015-09-30,16.25,$0.96,16.93
2015-06-30,14.62,$0.91,16.15
2015-03-31,13.5,$0.87,15.52
2014-12-31,12.76,$0.85,15.01
2014-09-30,11.63,$0.73,16.04
2014-06-30,12.94,$0.69,18.89
2014-03-31,13.54,$0.63,21.66
2013-12-31,14.65,$0.57,25.71
2013-09-30,11.89,$0.63,19.03
2013-06-30,10.14,$0.60,16.83
2013-03-31,7.33,$0.59,12.52
2012-12-31,6.4,$0.56,11.48
2012-09-30,6.55,$0.53,12.31
2012-06-30,5.86,$0.51,11.48
2012-03-31,5.08,$0.49,10.41
2011-12-31,4.92,$0.47,10.59
2011-09-30,4.02,$0.21,19.14
2011-06-30,4.46,$0.17,26.25
2011-03-31,4.28,$0.13,32.96
2010-12-31,4.14,$0.15,27.59
2010-09-30,3.81,$0.35,11.04
2010-06-30,4.26,$0.34,12.54
2010-03-31,4.48,$0.32,14.03
2009-12-31,4.07,$0.26,15.78
