VALE S.A PE Ratio Historical Data,VALE S.A PE Ratio Historical Data,VALE S.A PE Ratio Historical Data,VALE S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.74,,4.75
2024-06-30,10.77,$2.26,4.77
2024-03-31,11.75,$1.81,6.49
2023-12-31,14.64,$1.83,8.0
2023-09-30,12.0,$2.09,5.74
2023-06-30,11.65,$2.41,4.83
2023-03-31,13.7,$3.53,3.88
2022-12-31,14.42,$4.05,3.56
2022-09-30,11.28,$4.30,2.62
2022-06-30,11.79,$4.08,2.89
2022-03-31,16.11,$4.25,3.79
2021-12-31,10.88,$4.41,2.47
2021-09-30,10.82,$3.48,3.11
2021-06-30,16.07,$3.29,4.88
2021-03-31,12.01,$1.99,6.04
2020-12-31,11.11,$0.95,11.69
2020-09-30,7.01,$0.51,13.75
2020-06-30,6.57,$0.26,25.26
2020-03-31,5.28,$0.04,132.04
2019-12-31,8.41,$-0.33,0.0
2019-09-30,7.19,$0.70,10.26
2019-06-30,8.4,$0.65,12.92
2019-03-31,8.16,$0.69,11.83
2018-12-31,8.24,$1.31,6.29
2018-09-30,9.27,$0.73,12.7
2018-06-30,7.81,$0.89,8.78
2018-03-31,7.75,$0.88,8.81
2017-12-31,7.37,$1.06,6.95
2017-09-30,6.0,$1.01,5.94
2017-06-30,5.22,$0.69,7.56
2017-03-31,5.49,$0.90,6.09
2016-12-31,4.4,$0.76,5.79
2016-09-30,3.16,$-1.00,0.0
2016-06-30,2.9,$-1.52,0.0
2016-03-31,2.42,$-1.40,0.0
2015-12-31,1.89,$-2.35,0.0
2015-09-30,2.36,$-1.05,0.0
2015-06-30,3.31,$-0.92,0.0
2015-03-31,3.14,$-0.97,0.0
2014-12-31,4.55,$0.13,34.98
2014-09-30,5.9,$-0.76,0.0
2014-06-30,7.09,$0.20,35.47
2014-03-31,7.21,0,0.0
2013-12-31,7.95,$0.11,72.24
2013-09-30,7.95,$0.85,9.35
2013-06-30,6.7,$0.49,13.67
2013-03-31,8.65,$0.93,9.3
2012-12-31,10.48,$1.07,9.8
2012-09-30,8.85,$2.48,3.57
2012-06-30,9.81,$3.09,3.18
2012-03-31,11.3,$3.79,2.98
2011-12-31,10.39,$4.34,2.39
2011-09-30,10.82,$4.56,2.37
2011-06-30,14.84,$4.76,3.12
2011-03-31,15.34,$4.24,3.62
2010-12-31,15.76,$3.25,4.85
2010-09-30,14.22,$2.41,5.9
2010-06-30,11.07,$1.59,6.96
2010-03-31,14.56,$1.04,14.0
2009-12-31,13.13,$1.00,13.13
