Westamerica Bancorporation PE Ratio Historical Data,Westamerica Bancorporation PE Ratio Historical Data,Westamerica Bancorporation PE Ratio Historical Data,Westamerica Bancorporation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.92,,9.05
2024-06-30,48.09,$5.74,8.38
2024-03-31,48.01,$5.92,8.11
2023-12-31,54.89,$6.06,9.06
2023-09-30,41.71,$6.04,6.91
2023-06-30,36.61,$5.77,6.34
2023-03-31,41.89,$5.20,8.06
2022-12-31,55.39,$4.53,12.23
2022-09-30,48.75,$3.88,12.56
2022-06-30,51.52,$3.41,15.11
2022-03-31,55.6,$3.31,16.8
2021-12-31,52.67,$3.22,16.36
2021-09-30,50.95,$3.30,15.44
2021-06-30,52.17,$3.22,16.2
2021-03-31,56.08,$3.10,18.09
2020-12-31,49.04,$2.98,16.46
2020-09-30,47.83,$2.86,16.72
2020-06-30,50.19,$2.87,17.49
2020-03-31,51.04,$2.88,17.72
2019-12-31,58.47,$2.98,19.62
2019-09-30,53.32,$2.92,18.26
2019-06-30,52.48,$2.80,18.74
2019-03-31,52.64,$2.74,19.21
2018-12-31,47.13,$2.67,17.65
2018-09-30,50.58,$2.12,23.86
2018-06-30,47.2,$2.06,22.91
2018-03-31,48.17,$1.99,24.21
2017-12-31,49.05,$1.90,25.82
2017-09-30,48.71,$2.30,21.18
2017-06-30,45.51,$2.34,19.45
2017-03-31,45.02,$2.31,19.49
2016-12-31,50.39,$2.30,21.91
2016-09-30,40.41,$2.31,17.5
2016-06-30,38.8,$2.28,17.02
2016-03-31,38.05,$2.29,16.62
2015-12-31,36.19,$2.30,15.74
2015-09-30,34.11,$2.31,14.77
2015-06-30,38.58,$2.31,16.7
2015-03-31,32.63,$2.31,14.12
2014-12-31,36.68,$2.32,15.81
2014-09-30,34.54,$2.34,14.76
2014-06-30,38.51,$2.39,16.11
2014-03-31,39.54,$2.45,16.14
2013-12-31,40.97,$2.51,16.32
2013-09-30,35.83,$2.61,13.73
2013-06-30,32.66,$2.71,12.05
2013-03-31,32.12,$2.82,11.39
2012-12-31,29.93,$2.93,10.22
2012-09-30,32.79,$3.00,10.93
2012-06-30,32.62,$3.06,10.66
2012-03-31,32.91,$3.05,10.79
2011-12-31,29.87,$3.07,9.73
2011-09-30,25.86,$3.11,8.31
2011-06-30,32.97,$3.13,10.53
2011-03-31,34.14,$3.19,10.7
2010-12-31,36.6,$3.22,11.37
2010-09-30,35.7,$3.20,11.16
2010-06-30,34.18,$3.20,10.68
2010-03-31,37.3,$3.15,11.84
2009-12-31,35.58,$4.15,8.57
