Utz Brands PE Ratio Historical Data,Utz Brands PE Ratio Historical Data,Utz Brands PE Ratio Historical Data,Utz Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.64,,0.0
2024-03-31,18.22,$-0.25,0.0
2023-12-31,16.05,$-0.31,0.0
2023-09-30,13.22,$0.21,62.95
2023-06-30,16.04,$0.25,64.16
2023-03-31,16.04,$0.29,55.32
2022-12-31,15.45,$0.44,35.11
2024-06-30,16.57,$0.04,414.36
2022-09-30,14.66,$-0.29,0.0
2022-06-30,13.37,$0.12,111.41
2022-03-31,14.18,$0.29,48.91
2021-12-31,15.31,$0.21,72.89
2021-09-30,16.38,$0.18,91.03
2021-06-30,20.79,$-0.22,0.0
2021-03-31,23.55,$-0.43,0.0
2020-12-31,20.96,$-0.10,0.0
2020-09-30,16.96,$0.03,565.26
2020-06-30,12.94,$0.08,161.79
2020-03-31,9.66,$0.14,69.03
2019-12-31,9.71,$0.17,57.13
2019-09-30,9.63,$0.17,56.63
