Arch Resources PE Ratio Historical Data,Arch Resources PE Ratio Historical Data,Arch Resources PE Ratio Historical Data,Arch Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,142.46,,10.35
2024-06-30,151.95,$13.77,11.03
2024-03-31,160.5,$17.00,9.44
2023-12-31,163.97,$37.20,4.41
2023-09-30,168.63,$39.81,4.24
2023-06-30,108.08,$55.20,1.96
2022-12-31,131.15,$64.05,2.05
2022-09-30,101.53,$52.79,1.92
2022-06-30,117.7,$54.13,2.17
2022-03-31,107.8,$39.75,2.71
2021-12-31,71.51,$28.52,2.51
2023-03-31,123.2,$16.20,7.61
2021-09-30,72.4,$1.01,71.68
2021-06-30,44.48,$-16.55,0.0
2021-03-31,32.47,$-21.47,0.0
2020-12-31,34.17,$-22.74,0.0
2020-09-30,33.16,$-18.14,0.0
2020-06-30,22.18,$0.84,26.4
2020-03-31,22.56,$7.63,2.96
2019-12-31,55.41,$13.21,4.19
2019-09-30,56.97,$18.22,3.13
2019-06-30,71.9,$17.98,4.0
2019-03-31,69.3,$16.51,4.2
2018-12-31,62.7,$15.34,4.09
2018-09-30,67.55,$14.54,4.65
2018-06-30,58.99,$11.27,5.23
2018-03-31,68.78,$10.69,6.43
2017-12-31,69.46,$7.95,8.74
2017-09-30,53.25,$4.31,12.35
