Dave & Buster's Entertainment PE Ratio Historical Data,Dave & Buster's Entertainment PE Ratio Historical Data,Dave & Buster's Entertainment PE Ratio Historical Data,Dave & Buster's Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.77,,14.15
2024-07-31,37.61,$2.74,13.73
2024-04-30,53.4,$2.35,22.72
2024-01-31,53.53,$2.81,19.05
2023-10-31,34.94,$2.73,12.8
2023-07-31,45.8,$2.89,15.85
2023-04-30,35.46,$2.88,12.31
2023-01-31,43.35,$2.78,15.59
2022-10-31,39.85,$2.50,15.94
2022-07-31,37.36,$2.67,13.99
2022-04-30,45.5,$3.15,14.44
2022-01-31,35.79,$2.20,16.27
2021-10-31,37.13,$0.49,75.78
2021-07-31,33.28,$-0.73,0.0
2021-04-30,45.66,$-3.04,0.0
2021-01-31,34.02,$-4.81,0.0
2020-10-31,17.16,$-2.82,0.0
2020-07-31,12.34,$-1.79,0.0
2020-04-30,14.64,$0.35,41.83
2020-01-31,44.16,$2.85,15.49
2019-10-31,39.63,$2.80,14.15
2019-07-31,40.33,$3.08,13.09
2019-04-30,56.18,$3.02,18.6
2019-01-31,50.69,$2.93,17.3
2018-10-31,58.47,$3.03,19.3
2018-07-31,48.14,$3.02,15.94
2018-04-30,41.62,$2.89,14.4
2018-01-31,46.04,$2.83,16.27
2017-10-31,47.21,$2.61,18.09
2017-07-31,60.84,$2.57,23.67
2017-04-30,62.7,$2.36,26.57
2017-01-31,53.35,$2.10,25.4
2016-10-31,40.5,$2.00,20.25
2016-07-31,43.59,$1.86,23.44
2016-04-30,37.91,$1.65,22.97
2016-01-31,35.53,$1.38,25.75
2015-10-31,37.79,$1.19,31.76
2015-07-31,38.01,$0.95,40.01
