NexPoint Residential Trust PE Ratio Historical Data,NexPoint Residential Trust PE Ratio Historical Data,NexPoint Residential Trust PE Ratio Historical Data,NexPoint Residential Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.73,,13.23
2024-06-30,39.12,$3.38,11.57
2024-03-31,31.48,$2.83,11.12
2023-12-31,33.15,$1.68,19.73
2023-09-30,30.59,$1.13,27.07
2023-06-30,42.74,$-0.17,0.0
2023-03-31,40.66,$-0.32,0.0
2022-12-31,40.14,$-0.35,0.0
2022-09-30,42.23,$1.00,42.23
2022-06-30,56.72,$0.81,70.03
2022-03-31,81.44,$0.97,83.96
2021-12-31,75.27,$0.88,85.54
2021-09-30,55.29,$-0.79,0.0
2021-06-30,48.86,$0.61,80.09
2021-03-31,40.71,$0.37,110.03
2020-12-31,37.09,$1.72,21.57
2020-09-30,38.58,$1.36,28.36
2020-06-30,30.53,$5.01,6.09
2020-03-31,21.58,$5.31,4.06
2019-12-31,38.21,$4.05,9.43
2019-09-30,39.42,$4.37,9.02
2019-06-30,34.7,$-0.72,0.0
2019-03-31,31.92,$-0.72,0.0
2018-12-31,28.95,$-0.07,0.0
2018-09-30,27.21,$-0.06,0.0
2018-06-30,23.14,$2.70,8.57
2018-03-31,20.02,$3.12,6.42
2017-12-31,22.29,$2.48,8.99
2017-09-30,18.76,$2.69,6.97
2017-06-30,19.49,$0.51,38.22
2017-03-31,18.76,$0.86,21.81
2016-12-31,17.18,$1.04,16.52
2016-09-30,14.96,$0.93,16.08
2016-06-30,13.7,$0.56,24.46
2016-03-31,9.72,$-0.24,0.0
2015-12-31,9.57,$-0.50,0.0
