Autodesk PE Ratio Historical Data,Autodesk PE Ratio Historical Data,Autodesk PE Ratio Historical Data,Autodesk PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,258.4,,55.93
2024-04-30,212.85,$4.62,46.07
2024-01-31,253.81,$4.21,60.29
2023-10-31,197.63,$4.25,46.5
2023-07-31,211.99,$4.04,52.47
2023-04-30,194.79,$3.86,50.46
2023-01-31,215.16,$3.78,56.92
2022-10-31,214.3,$2.83,75.72
2022-07-31,216.32,$2.53,85.5
2022-04-30,189.28,$2.20,86.04
2022-01-31,249.79,$2.23,112.01
2021-10-31,317.61,$5.93,53.56
2021-07-31,321.13,$5.91,54.34
2021-04-30,291.91,$5.83,50.07
2021-01-31,277.43,$5.43,51.09
2020-10-31,235.54,$1.92,122.68
2020-07-31,236.43,$1.63,145.05
2020-04-30,187.13,$1.37,136.59
2020-01-31,196.85,$0.96,205.05
2019-10-31,147.36,$0.66,223.27
2019-07-31,156.17,$0.25,624.68
2019-04-30,178.21,$-0.11,0.0
2019-01-31,147.2,$-0.38,0.0
2018-10-31,129.25,$-1.46,0.0
2018-07-31,128.44,$-1.90,0.0
2018-04-30,125.9,$-2.38,0.0
2018-01-31,115.62,$-2.59,0.0
2017-10-31,124.96,$-2.57,0.0
2017-07-31,110.79,$-2.66,0.0
2017-04-30,90.07,$-2.44,0.0
2017-01-31,81.34,$-2.62,0.0
2016-10-31,72.28,$-2.00,0.0
2016-07-31,59.45,$-1.55,0.0
2016-04-30,59.82,$-2.15,0.0
2016-01-31,46.82,$-1.30,0.0
2015-10-31,55.19,$-1.10,0.0
2015-07-31,50.58,$-0.86,0.0
2015-04-30,56.83,$0.31,183.32
2015-01-31,54.01,$0.35,154.3
2014-10-31,57.54,$0.53,108.57
2014-07-31,53.35,$0.73,73.08
2014-04-30,48.02,$0.87,55.2
2014-01-31,51.25,$0.99,51.77
2013-10-31,39.9,$1.08,36.94
2013-07-31,35.39,$0.96,36.86
2013-04-30,39.38,$0.97,40.6
2013-01-31,38.88,$1.07,36.34
2012-10-31,31.85,$1.06,30.05
2012-07-31,33.92,$1.25,27.14
2012-04-30,39.37,$1.27,31.0
2012-01-31,36.0,$1.22,29.51
2011-10-31,34.6,$1.17,29.57
2011-07-31,34.4,$1.08,31.85
2011-04-30,44.98,$1.03,43.67
2011-01-31,40.68,$0.90,45.2
2010-10-31,36.2,$0.85,42.59
2010-07-31,29.54,$0.75,39.39
2010-04-30,33.99,$0.55,61.8
2010-01-31,23.79,$0.25,95.16
2009-10-31,24.93,$-0.43,0.0
