TFI PE Ratio Historical Data,TFI PE Ratio Historical Data,TFI PE Ratio Historical Data,TFI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,138.14,,24.94
2024-06-30,144.74,$5.54,26.13
2024-03-31,158.56,$5.63,28.16
2023-12-31,134.87,$5.81,23.21
2023-09-30,126.99,$6.02,21.09
2023-06-30,112.4,$7.20,15.61
2023-03-31,117.3,$8.73,13.44
2022-12-31,98.28,$9.03,10.88
2022-09-30,88.4,$8.81,10.03
2022-06-30,78.21,$7.49,10.44
2022-03-31,103.41,$7.12,14.52
2021-12-31,108.57,$6.25,17.37
2021-09-30,98.72,$5.64,17.5
2021-06-30,87.9,$5.13,17.13
2021-03-31,71.88,$3.07,23.42
2020-12-31,49.44,$3.03,16.32
