Popular PE Ratio Historical Data,Popular PE Ratio Historical Data,Popular PE Ratio Historical Data,Popular PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,102.56,,14.45
2024-06-30,87.87,$7.10,12.38
2024-03-31,86.92,$6.74,12.9
2023-12-31,80.39,$7.53,10.68
2023-09-30,61.21,$9.78,6.26
2023-06-30,58.3,$13.58,4.29
2023-03-31,54.77,$14.25,3.84
2022-12-31,62.6,$14.72,4.25
2022-09-30,67.46,$13.74,4.91
2022-06-30,71.49,$11.13,6.42
2022-03-31,75.45,$11.02,6.85
2021-12-31,75.2,$11.45,6.57
2021-09-30,70.79,$10.97,6.45
2021-06-30,67.99,$9.88,6.88
2021-03-31,63.35,$8.71,7.27
2020-12-31,50.46,$5.96,8.47
2020-09-30,32.25,$5.58,5.78
2020-06-30,32.71,$5.28,6.2
2020-03-31,30.49,$5.55,5.49
2019-12-31,50.37,$6.87,7.33
2019-09-30,46.12,$6.20,7.44
2019-06-30,46.0,$5.88,7.82
2019-03-31,43.96,$6.85,6.42
2018-12-31,39.6,$6.05,6.54
2018-09-30,42.77,$3.99,10.72
2018-06-30,37.55,$2.80,13.41
2018-03-31,34.38,$1.01,34.04
2017-12-31,29.15,$1.01,28.87
2017-09-30,29.32,$1.97,14.88
2017-06-30,33.82,$2.22,15.23
2017-03-31,32.8,$2.13,15.4
2016-12-31,35.08,$2.05,17.11
2016-09-30,30.49,$3.42,8.91
2016-06-30,23.28,$3.80,6.13
2016-03-31,22.63,$8.74,2.59
2015-12-31,22.29,$8.43,2.64
2015-09-30,23.65,$7.71,3.07
2015-06-30,22.46,$1.91,11.76
2014-12-31,26.5,$-3.05,0.0
2014-09-30,22.91,$-1.98,0.0
2014-06-30,26.6,$-1.86,0.0
2014-03-31,24.12,$5.34,4.52
2013-12-31,22.36,$7.70,2.9
2015-03-31,26.77,$4.95,5.41
2013-09-30,20.43,$5.04,4.05
2013-06-30,23.64,$3.27,7.23
2013-03-31,21.48,$0.71,30.26
2012-12-31,16.18,$2.39,6.77
2012-09-30,13.58,$1.58,8.6
2012-06-30,12.93,$1.43,9.04
2012-03-31,15.96,$1.90,8.4
2011-12-31,10.82,$1.50,7.21
2011-09-30,11.68,$-0.70,0.0
2011-06-30,21.48,$3.80,5.65
2011-03-31,22.73,$-0.20,0.0
2010-12-31,24.44,$-1.60,0.0
2010-09-30,22.57,$-2.70,0.0
2010-06-30,20.86,$6.50,3.21
2010-03-31,22.65,$2.00,11.32
2009-12-31,17.59,$0.60,29.32
