Principal Financial PE Ratio Historical Data,Principal Financial PE Ratio Historical Data,Principal Financial PE Ratio Historical Data,Principal Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,81.42,,15.81
2024-06-30,78.45,$5.15,15.23
2024-03-31,85.56,$5.24,16.33
2023-12-31,77.32,$2.45,31.56
2023-09-30,70.19,$6.07,11.56
2023-06-30,73.24,$2.40,30.52
2023-03-31,71.08,$2.58,27.55
2022-12-31,79.57,$4.47,17.8
2022-03-31,67.92,$5.83,11.65
2021-12-31,66.28,$6.27,10.57
2021-09-30,58.47,$6.21,9.41
2021-06-30,56.83,$5.93,9.58
2021-03-31,53.43,$5.68,9.41
2020-12-31,43.77,$4.79,9.14
2020-03-31,26.6,$4.46,5.96
2019-12-31,46.1,$4.95,9.31
2019-09-30,47.41,$4.71,10.07
2019-06-30,47.56,$15.67,3.03
2019-03-31,40.75,$15.89,2.56
2018-12-31,35.49,$15.94,2.23
2022-06-30,62.35,$16.47,3.79
2018-09-30,46.57,$7.40,6.29
2018-06-30,41.69,$8.57,4.86
2018-03-31,47.52,$8.05,5.9
2017-12-31,54.59,$7.88,6.93
2017-09-30,49.43,$6.10,8.1
2017-06-30,48.86,$4.40,11.1
2017-03-31,47.78,$4.44,10.76
2016-12-31,43.5,$4.50,9.67
2016-09-30,38.44,$4.27,9.0
2016-06-30,30.42,$4.22,7.21
2016-03-31,28.94,$3.93,7.36
2015-12-31,32.68,$4.07,8.03
2015-09-30,34.12,$4.12,8.28
2015-06-30,36.68,$3.96,9.26
2015-03-31,36.47,$3.92,9.3
2014-12-31,36.62,$3.56,10.29
2020-09-30,35.14,$3.60,9.76
2014-09-30,36.75,$3.53,10.41
2014-06-30,35.14,$3.58,9.82
2014-03-31,31.8,$4.00,7.95
2013-12-31,33.9,$3.80,8.92
2013-09-30,29.28,$3.63,8.07
2020-06-30,35.77,$3.55,10.08
2013-06-30,25.45,$2.70,9.43
2013-03-31,22.99,$2.53,9.09
2012-12-31,19.13,$2.46,7.78
2012-09-30,17.93,$1.92,9.34
2012-06-30,17.33,$2.12,8.17
2011-12-31,16.02,$2.14,7.49
2011-09-30,14.37,$2.22,6.47
2011-06-30,19.28,$2.68,7.19
2011-03-31,20.35,$2.32,8.77
2010-12-31,20.64,$2.14,9.64
2012-03-31,19.35,$2.11,9.17
2010-09-30,16.11,$1.89,8.52
2010-06-30,14.57,$2.02,7.21
2010-03-31,18.15,$2.12,8.56
2009-12-31,14.94,$1.96,7.62
2009-09-30,16.7,$7.02,2.38
