Helmerich & Payne PE Ratio Historical Data,Helmerich & Payne PE Ratio Historical Data,Helmerich & Payne PE Ratio Historical Data,Helmerich & Payne PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.85,,10.1
2024-06-30,35.7,$3.45,10.35
2024-03-31,41.1,$3.50,11.74
2023-12-31,35.0,$4.19,8.35
2023-09-30,40.3,$4.16,9.69
2023-06-30,33.48,$3.81,8.79
2023-03-31,33.26,$3.04,10.94
2022-12-31,45.64,$1.44,31.69
2022-09-30,33.72,$0.05,674.36
2022-06-30,39.03,$-1.11,0.0
2022-03-31,38.56,$-1.79,0.0
2021-12-31,21.2,$-2.87,0.0
2021-09-30,24.27,$-3.05,0.0
2021-06-30,28.62,$-2.86,0.0
2021-03-31,23.45,$-2.77,0.0
2020-12-31,19.96,$-5.52,0.0
2020-09-30,12.44,$-4.59,0.0
2020-06-30,16.35,$-3.67,0.0
2020-03-31,12.61,$-4.66,0.0
2019-12-31,36.0,$-0.23,0.0
2019-09-30,31.21,$-0.33,0.0
2019-06-30,38.78,$-0.68,0.0
2019-03-31,42.05,$0.66,63.71
2018-12-31,35.82,$-0.01,0.0
2018-09-30,50.81,$4.37,11.63
2018-06-30,46.57,$4.14,11.25
2018-03-31,48.16,$4.01,12.01
2017-12-31,46.26,$3.68,12.57
2017-09-30,36.85,$-1.20,0.0
2017-06-30,37.82,$-1.67,0.0
2017-03-31,45.77,$-1.66,0.0
2016-12-31,52.67,$-1.02,0.0
2016-09-30,45.29,$-0.54,0.0
2016-06-30,44.68,$-0.06,0.0
2016-03-31,38.63,$0.97,39.83
2015-12-31,34.72,$2.15,16.15
2015-09-30,30.28,$3.85,7.87
2015-06-30,44.63,$5.58,8.0
2015-03-31,42.75,$6.50,6.58
2014-12-31,41.9,$6.72,6.24
2014-09-30,60.34,$6.46,9.34
2014-06-30,71.11,$6.40,11.11
2014-03-31,65.5,$7.11,9.21
2013-12-31,50.84,$6.91,7.36
2013-09-30,41.42,$6.80,6.09
2013-06-30,37.24,$6.79,5.48
2013-03-31,36.11,$5.71,6.32
2012-12-31,33.24,$5.50,6.04
2012-09-30,28.21,$5.34,5.28
2012-06-30,25.73,$4.99,5.16
2012-03-31,31.88,$4.62,6.9
2011-12-31,34.44,$4.35,7.92
2011-09-30,23.93,$3.99,6.0
2011-06-30,38.92,$3.65,10.66
2011-03-31,40.39,$2.30,17.56
2010-12-31,28.48,$1.82,15.65
2010-09-30,23.74,$1.45,16.37
2010-06-30,21.39,$1.16,18.44
2010-03-31,22.28,$2.00,11.14
2009-12-31,23.3,$2.55,9.14
