Tenaris S.A PE Ratio Historical Data,Tenaris S.A PE Ratio Historical Data,Tenaris S.A PE Ratio Historical Data,Tenaris S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.63,,6.74
2024-06-30,30.52,$4.69,6.51
2024-03-31,38.38,$6.00,6.4
2023-12-31,33.97,$6.64,5.12
2023-09-30,30.53,$6.09,5.01
2023-06-30,28.94,$6.21,4.66
2023-03-31,26.77,$5.39,4.97
2022-12-31,33.12,$4.33,7.65
2022-09-30,24.09,$3.59,6.71
2022-06-30,23.95,$3.12,7.68
2022-03-31,27.56,$2.54,10.85
2021-12-31,19.12,$1.87,10.23
2021-09-30,19.12,$1.42,13.46
2021-06-30,19.83,$0.80,24.79
2021-03-31,20.3,$0.22,92.26
2020-12-31,14.27,$-1.08,0.0
2020-09-30,8.73,$-1.00,0.0
2020-06-30,11.46,$-0.76,0.0
2020-03-31,10.26,$-0.27,0.0
2019-12-31,19.27,$1.26,15.3
2019-09-30,17.82,$1.38,12.91
2019-06-30,22.13,$1.62,13.66
2019-03-31,23.29,$1.50,15.53
2018-12-31,17.58,$1.49,11.8
2018-09-30,27.38,$1.38,19.84
2018-06-30,29.72,$1.14,26.07
2018-03-31,27.93,$0.98,28.5
2017-12-31,25.66,$0.93,27.6
2017-09-30,22.6,$0.72,31.39
2017-06-30,24.86,$0.57,43.61
2017-03-31,26.79,$0.42,63.79
2016-12-31,28.02,$0.10,280.22
2016-09-30,22.1,$-0.04,0.0
2016-06-30,22.45,$-0.67,0.0
2016-03-31,18.83,$-0.54,0.0
2015-12-31,18.1,$-0.19,0.0
2015-09-30,18.12,$0.22,82.38
2015-06-30,20.31,$1.36,14.93
2015-03-31,20.64,$1.94,10.64
2014-12-31,22.27,$2.28,9.77
2014-09-30,33.3,$2.64,12.61
2014-06-30,34.47,$2.61,13.21
2014-03-31,31.9,$2.63,12.13
2013-12-31,31.5,$2.63,11.98
2013-09-30,33.54,$2.55,13.15
2013-06-30,28.87,$2.78,10.38
2013-03-31,28.83,$2.85,10.12
2012-12-31,29.64,$2.88,10.29
2012-09-30,28.63,$2.95,9.71
2012-06-30,24.56,$2.76,8.9
2012-03-31,26.46,$2.47,10.71
2011-12-31,25.73,$2.26,11.38
2011-09-30,17.47,$2.12,8.24
2011-06-30,31.4,$2.09,15.02
2011-03-31,33.64,$2.08,16.17
2010-12-31,33.31,$1.91,17.44
2010-09-30,25.98,$1.75,14.84
2010-06-30,23.4,$1.62,14.44
2010-03-31,28.72,$1.72,16.7
2009-12-31,28.52,$1.97,14.48
