MillerKnoll PE Ratio Historical Data,MillerKnoll PE Ratio Historical Data,MillerKnoll PE Ratio Historical Data,MillerKnoll PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.54,,29.36
2024-08-31,29.45,$0.87,33.85
2024-05-31,27.41,$1.11,24.69
2024-02-29,30.15,$0.97,31.08
2023-11-30,25.31,$0.68,37.22
2023-08-31,18.6,$0.44,42.27
2023-05-31,12.89,$0.56,23.02
2023-02-28,22.53,$0.84,26.82
2022-11-30,19.07,$0.99,19.26
2022-08-31,25.71,$0.73,35.21
2022-05-31,28.05,$-0.54,0.0
2022-02-28,35.88,$-0.70,0.0
2021-11-30,34.84,$-0.16,0.0
2021-08-31,38.42,$0.76,50.56
2021-05-31,43.51,$-1.26,0.0
2021-02-28,34.77,$-0.74,0.0
2020-11-30,32.16,$-0.12,0.0
2020-05-31,20.67,$-0.18,0.0
2020-02-29,30.74,$3.55,8.66
2019-11-30,42.64,$4.15,10.28
2019-08-31,37.57,$3.49,10.77
2019-05-31,31.38,$3.34,9.4
2020-08-31,21.39,$3.16,6.77
2019-02-28,32.26,$2.45,13.17
2018-11-30,29.62,$2.28,12.99
2018-08-31,33.5,$2.17,15.44
2018-05-31,28.5,$2.12,13.44
2018-02-28,30.92,$2.14,14.45
2017-11-30,30.79,$2.02,15.24
2017-08-31,28.83,$2.00,14.42
2017-05-31,26.89,$2.05,13.12
2017-02-28,25.12,$2.17,11.58
2016-11-30,27.4,$2.26,12.12
2016-08-31,30.25,$2.30,13.15
2016-05-31,26.43,$2.26,11.69
2016-02-29,21.68,$1.98,10.95
2015-11-30,26.19,$1.87,14.01
2015-08-31,22.29,$1.76,12.66
2015-05-31,22.65,$1.62,13.98
2015-02-28,25.19,$1.51,16.68
2014-11-30,24.61,$1.49,16.52
2014-08-31,23.96,$-0.34,0.0
2014-05-31,25.09,$-0.38,0.0
2014-02-28,22.51,$-0.26,0.0
2013-11-30,25.37,$-0.31,0.0
2013-08-31,20.17,$1.20,16.81
2013-05-31,22.15,$1.16,19.1
2013-02-28,18.83,$0.96,19.62
2012-11-30,16.49,$0.94,17.54
2012-08-31,15.2,$1.21,12.56
2012-05-31,14.3,$1.29,11.08
2012-02-29,16.23,$1.39,11.68
2011-11-30,16.67,$1.42,11.74
2011-08-31,15.32,$1.27,12.07
2011-05-31,19.34,$1.07,18.07
2011-02-28,20.73,$0.77,26.93
2010-11-30,16.56,$0.60,27.61
2010-08-31,12.59,$0.51,24.69
2010-05-31,14.75,$0.43,34.31
2010-02-28,13.95,$0.57,24.47
2009-11-30,11.63,$0.35,33.22
