PJT Partners PE Ratio Historical Data,PJT Partners PE Ratio Historical Data,PJT Partners PE Ratio Historical Data,PJT Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,149.82,,39.12
2024-06-30,107.68,$3.83,28.11
2024-03-31,94.06,$3.63,25.91
2023-12-31,101.4,$3.08,32.92
2023-09-30,78.86,$3.16,24.96
2023-06-30,68.91,$3.30,20.88
2023-03-31,71.18,$3.18,22.38
2022-12-31,72.42,$3.51,20.63
2022-09-30,65.46,$3.88,16.87
2022-06-30,68.6,$3.88,17.68
2022-03-31,61.41,$4.03,15.24
2021-12-31,71.76,$4.06,17.68
2021-09-30,73.77,$4.41,16.73
2021-06-30,66.52,$4.81,13.83
2021-03-31,63.0,$4.78,13.18
2020-12-31,70.02,$4.47,15.67
2020-09-30,56.36,$3.49,16.15
2020-06-30,47.7,$2.55,18.71
2020-03-31,40.28,$1.89,21.31
2019-12-31,41.85,$1.21,34.58
2019-09-30,37.7,$0.74,50.94
2019-06-30,37.48,$0.79,47.45
2019-03-31,38.62,$0.89,43.39
2018-12-31,35.81,$1.09,32.85
2018-09-30,48.36,$-1.11,0.0
2018-06-30,49.28,$-1.28,0.0
2018-03-31,46.2,$-1.57,0.0
2017-12-31,42.01,$-1.74,0.0
2017-09-30,35.25,$0.59,59.75
2017-06-30,36.96,$-0.10,0.0
2017-03-31,32.2,$-0.13,0.0
2016-12-31,28.3,$-0.19,0.0
2016-09-30,24.95,$-1.26,0.0
