Nice PE Ratio Historical Data,Nice PE Ratio Historical Data,Nice PE Ratio Historical Data,Nice PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,178.7,,29.83
2024-06-30,171.97,$5.99,28.71
2024-03-31,260.62,$5.54,47.04
2023-12-31,199.51,$5.09,39.2
2023-09-30,170.0,$4.92,34.55
2023-06-30,206.5,$4.60,44.89
2023-03-31,228.89,$4.28,53.48
2022-12-31,192.3,$4.00,48.08
2022-09-30,188.24,$3.69,51.01
2022-06-30,192.45,$3.32,57.97
2022-03-31,219.0,$3.00,73.0
2021-12-31,303.6,$2.91,104.33
2021-09-30,284.04,$2.98,95.32
2021-06-30,247.46,$3.04,81.4
2021-03-31,217.97,$3.05,71.47
2020-12-31,283.54,$2.98,95.15
2020-09-30,227.03,$3.10,73.24
2020-06-30,189.24,$3.03,62.46
2020-03-31,143.56,$3.00,47.85
2019-12-31,155.15,$2.87,54.06
2019-09-30,143.8,$2.90,49.59
2019-06-30,137.0,$2.83,48.41
2019-03-31,122.51,$2.72,45.04
2018-12-31,108.21,$2.51,43.11
2018-09-30,114.47,$2.80,40.88
2018-06-30,103.77,$2.60,39.91
2018-03-31,93.93,$2.39,39.3
2017-12-31,91.91,$2.30,39.96
2017-09-30,81.31,$1.46,55.69
2017-06-30,78.72,$1.54,51.12
2017-03-31,67.98,$1.63,41.71
2016-12-31,68.6,$1.93,35.54
2016-09-30,66.63,$2.44,27.31
2016-06-30,63.4,$4.27,14.85
2016-03-31,64.17,$4.33,14.82
2015-12-31,56.63,$4.23,13.39
2015-09-30,55.56,$4.12,13.49
2015-06-30,62.51,$2.23,28.03
2015-03-31,59.75,$1.92,31.12
2014-12-31,49.52,$1.70,29.13
2014-09-30,39.75,$1.26,31.54
2014-06-30,39.6,$0.76,52.11
2014-03-31,43.16,$0.86,50.19
2013-12-31,39.42,$0.89,44.3
2013-09-30,39.65,$1.02,38.87
2013-06-30,35.21,$1.35,26.08
2013-03-31,35.0,$1.26,27.78
2012-12-31,31.82,$1.09,29.19
2012-09-30,31.57,$0.81,38.97
2012-06-30,34.78,$0.83,41.9
2012-03-31,37.35,$0.89,41.96
2011-12-31,32.74,$0.90,36.37
2011-09-30,28.84,$0.93,31.01
2011-06-30,34.55,$0.84,41.13
2011-03-31,35.1,$0.80,43.88
2010-12-31,33.16,$0.76,43.64
2010-09-30,29.73,$0.69,43.09
2010-06-30,24.22,$0.61,39.71
2010-03-31,30.17,$0.60,50.29
2009-12-31,29.5,$0.68,43.38
