Estee Lauder PE Ratio Historical Data,Estee Lauder PE Ratio Historical Data,Estee Lauder PE Ratio Historical Data,Estee Lauder PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,91.66,,49.02
2024-06-30,105.64,$1.87,56.49
2024-03-31,153.05,$1.78,85.98
2023-12-31,144.56,$1.30,111.2
2023-09-30,142.13,$1.52,93.51
2023-06-30,192.32,$2.78,69.18
2023-03-31,240.53,$3.01,79.91
2022-12-31,241.48,$4.11,58.76
2022-09-30,209.49,$5.99,34.97
2022-06-30,246.54,$7.40,33.32
2022-03-31,263.0,$8.50,30.94
2021-12-31,356.81,$9.34,38.2
2021-06-30,305.56,$7.79,39.23
2021-03-31,278.92,$3.75,74.38
2020-12-31,254.8,$4.39,58.04
2020-09-30,208.47,$2.00,104.23
2020-06-30,179.83,$2.10,85.64
2021-09-30,288.57,$4.99,57.83
2020-03-31,151.87,$3.54,42.9
2019-12-31,196.34,$5.07,38.73
2019-09-30,188.66,$5.10,36.99
2019-06-30,173.28,$4.83,35.87
2019-03-31,156.25,$4.89,31.95
2018-12-31,122.46,$4.37,28.02
2018-09-30,136.78,$3.15,43.42
2018-06-30,133.94,$2.95,45.4
2018-03-31,140.19,$3.07,45.66
2017-12-31,118.82,$2.88,41.26
2017-09-30,100.39,$3.70,27.13
2017-06-30,89.07,$3.35,26.59
2017-03-31,78.4,$2.99,26.22
2016-12-31,70.44,$3.38,20.84
2016-09-30,81.2,$3.05,26.62
2016-06-30,83.18,$2.66,31.27
2015-12-31,79.96,$3.12,25.63
2015-09-30,73.0,$3.06,23.86
2015-06-30,78.17,$2.95,26.5
2015-03-31,74.81,$3.14,23.83
2014-12-31,68.35,$3.09,22.12
2016-03-31,85.91,$2.50,34.36
2014-09-30,66.81,$2.88,23.2
2014-06-30,66.22,$3.05,21.71
2014-03-31,59.48,$2.63,22.62
2013-12-31,66.79,$2.54,26.3
2013-09-30,61.82,$2.58,23.96
2013-06-30,58.01,$2.58,22.48
2013-03-31,56.33,$2.47,22.81
2012-12-31,52.51,$2.35,22.34
2012-09-30,53.35,$2.22,24.03
2012-06-30,46.89,$2.16,21.71
2012-03-31,53.67,$2.13,25.2
2011-12-31,48.66,$2.11,23.06
2011-09-30,37.69,$1.97,19.18
2011-06-30,45.13,$1.74,25.94
2011-03-31,41.34,$1.70,24.32
2010-12-31,34.62,$1.53,22.63
2010-09-30,26.86,$1.32,20.43
2010-06-30,23.68,$1.20,19.81
2010-03-31,27.56,$1.09,25.28
2009-12-31,20.55,$1.02,20.14
