Cable One PE Ratio Historical Data,Cable One PE Ratio Historical Data,Cable One PE Ratio Historical Data,Cable One PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,358.39,,8.44
2024-06-30,351.12,$42.47,8.27
2024-03-31,416.21,$43.67,9.53
2023-12-31,544.17,$45.18,12.04
2023-09-30,598.6,$12.41,48.24
2023-06-30,635.95,$17.13,37.12
2023-03-31,676.32,$18.88,35.82
2022-12-31,683.23,$36.11,18.92
2022-09-30,815.49,$60.03,13.58
2022-06-30,1229.52,$56.83,21.64
2022-03-31,1393.35,$62.40,22.33
2021-12-31,1675.0,$46.74,35.84
2021-09-30,1719.6,$53.74,32.0
2021-06-30,1811.74,$56.37,32.14
2021-03-31,1729.37,$50.32,34.37
2020-12-31,2104.55,$51.18,41.12
2020-09-30,1778.91,$42.96,41.41
2020-06-30,1672.41,$40.68,41.11
2020-03-31,1547.16,$36.40,42.5
2019-12-31,1399.01,$31.13,44.94
2019-09-30,1177.55,$29.15,40.4
2019-06-30,1097.02,$27.17,40.38
2019-03-31,917.76,$28.47,32.24
2018-12-31,765.29,$28.77,26.6
2018-09-30,822.68,$46.32,17.76
2018-06-30,681.01,$45.10,15.1
2018-03-31,636.44,$42.42,15.0
2017-12-31,649.83,$41.14,15.8
2017-09-30,665.44,$20.48,32.49
2017-06-30,653.54,$18.63,35.08
2017-03-31,572.8,$18.28,31.33
2016-12-31,568.95,$17.13,33.21
2016-09-30,533.04,$17.34,30.74
2016-06-30,465.48,$17.01,27.36
