Chesapeake Utilities PE Ratio Historical Data,Chesapeake Utilities PE Ratio Historical Data,Chesapeake Utilities PE Ratio Historical Data,Chesapeake Utilities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,121.81,,26.03
2024-06-30,105.65,$4.68,22.58
2024-03-31,106.1,$4.76,22.29
2023-12-31,103.85,$4.73,21.96
2023-09-30,95.57,$4.94,19.35
2023-06-30,115.73,$4.95,23.38
2023-03-31,123.9,$5.01,24.73
2022-12-31,113.92,$5.05,22.56
2022-09-30,110.73,$4.86,22.78
2022-06-30,123.8,$5.03,24.61
2022-03-31,131.06,$4.85,27.02
2021-12-31,138.23,$4.73,29.22
2021-09-30,113.41,$4.73,23.98
2021-06-30,113.24,$4.58,24.73
2021-03-31,108.81,$4.46,24.4
2020-12-31,101.06,$4.26,23.72
2020-09-30,78.41,$4.35,18.02
2020-06-30,77.69,$4.13,18.81
2020-03-31,78.85,$3.97,19.86
2019-12-31,87.74,$3.95,22.21
2019-09-30,86.9,$3.66,23.74
2019-06-30,86.26,$3.66,23.57
2019-03-31,82.44,$3.55,23.22
2018-12-31,73.19,$3.45,21.22
2018-09-30,75.23,$3.96,19.0
2018-06-30,71.39,$4.04,17.67
2018-03-31,62.51,$4.02,15.55
2017-12-31,69.48,$3.55,19.57
2017-09-30,68.93,$2.69,25.63
2017-06-30,65.76,$2.56,25.69
2017-03-31,60.45,$2.71,22.31
2016-12-31,58.22,$2.87,20.28
2016-09-30,52.85,$2.70,19.58
2016-06-30,57.0,$2.74,20.8
2016-03-31,53.96,$2.63,20.52
2015-12-31,48.39,$2.74,17.66
2015-09-30,45.02,$2.87,15.68
2015-06-30,45.39,$2.76,16.45
2015-03-31,42.44,$2.70,15.7
2014-12-31,41.41,$2.48,16.72
2014-09-30,34.54,$2.45,14.08
2014-06-30,39.2,$2.50,15.68
2014-03-31,34.5,$2.45,14.1
2013-12-31,32.58,$2.26,14.42
2013-09-30,28.3,$2.27,12.45
2013-06-30,27.55,$2.23,12.37
2013-03-31,26.05,$2.27,11.46
2012-12-31,23.94,$1.99,12.05
2012-09-30,24.77,$1.86,13.32
2012-06-30,22.69,$1.81,12.56
2012-03-31,21.17,$1.71,12.4
2011-12-31,22.14,$1.92,11.53
2011-09-30,20.31,$1.86,10.92
2011-06-30,20.09,$1.81,11.12
2011-03-31,20.7,$1.79,11.54
2010-12-31,20.48,$1.82,11.26
2010-09-30,17.72,$1.80,9.85
2010-06-30,15.22,$1.71,8.88
2010-03-31,14.29,$1.56,9.16
2009-12-31,15.21,$1.41,10.81
