Perrigo PE Ratio Historical Data,Perrigo PE Ratio Historical Data,Perrigo PE Ratio Historical Data,Perrigo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.98,,0.0
2024-06-30,25.44,$-0.92,0.0
2024-03-31,31.89,$-0.07,0.0
2023-12-31,31.58,$-0.10,0.0
2023-09-30,31.08,$0.05,621.6
2023-06-30,32.77,$-0.42,0.0
2023-03-31,34.33,$-0.96,0.0
2022-12-31,32.38,$-0.96,0.0
2022-09-30,33.6,$-0.63,0.0
2022-06-30,37.96,$-0.70,0.0
2022-03-31,35.73,$-0.65,0.0
2021-12-31,35.9,$-1.92,0.0
2021-09-30,43.39,$-3.29,0.0
2021-06-30,41.79,$-2.41,0.0
2020-12-31,40.32,$-1.21,0.0
2020-09-30,41.2,$-0.06,0.0
2020-06-30,49.39,$1.35,36.58
2020-03-31,42.8,$1.58,27.09
2019-12-31,45.78,$0.88,52.02
2021-03-31,36.7,$1.49,24.63
2019-09-30,49.32,$1.81,27.25
2019-06-30,41.84,$0.65,64.36
2019-03-31,42.11,$0.84,50.13
2018-12-31,33.75,$0.94,35.9
2018-09-30,61.66,$0.86,71.7
2018-06-30,63.34,$1.66,38.15
2018-03-31,72.21,$0.91,79.35
2017-12-31,75.34,$0.84,89.69
2017-09-30,73.04,$-9.16,0.0
2017-06-30,65.02,$-18.23,0.0
2017-03-31,57.04,$-16.39,0.0
2016-12-31,71.35,$-19.23,0.0
2016-09-30,79.02,$-10.49,0.0
2016-06-30,77.47,$-0.96,0.0
2016-03-31,109.15,$-2.98,0.0
2015-12-31,123.31,$-0.13,0.0
2015-09-30,133.91,$1.33,100.69
2015-03-31,140.78,$0.56,251.39
2014-12-31,142.03,$1.59,89.33
2014-09-30,127.53,$0.21,607.27
2014-06-30,123.68,$0.67,184.59
2014-03-31,131.13,$0.67,195.71
2013-12-31,130.03,$1.49,87.27
2013-09-30,104.48,$3.48,30.02
2013-06-30,102.39,$3.42,29.94
2013-03-31,100.4,$3.42,29.36
2012-12-31,87.89,$3.47,25.33
2012-09-30,98.06,$3.41,28.76
2012-06-30,99.47,$3.04,32.72
2012-03-31,87.08,$3.04,28.64
2011-12-31,81.95,$2.76,29.69
2011-09-30,81.71,$2.67,30.6
2011-06-30,73.88,$2.72,27.16
2011-03-31,66.81,$2.72,24.56
2010-12-31,53.15,$2.43,21.87
2010-09-30,53.84,$2.01,26.79
2010-06-30,49.47,$1.87,26.45
2010-03-31,49.12,$1.87,26.27
2009-12-31,33.28,$1.70,19.58
2009-09-30,28.35,$1.53,18.53
