Pegasystems PE Ratio Historical Data,Pegasystems PE Ratio Historical Data,Pegasystems PE Ratio Historical Data,Pegasystems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,73.52,,50.7
2024-06-30,60.47,$1.45,41.71
2024-03-31,64.58,$0.82,78.76
2023-12-31,48.79,$0.71,68.72
2023-09-30,43.32,$-0.49,0.0
2023-06-30,49.17,$-1.54,0.0
2023-03-31,48.32,$-4.48,0.0
2022-12-31,34.11,$-4.23,0.0
2022-09-30,31.99,$-5.10,0.0
2022-06-30,47.57,$-4.65,0.0
2022-03-31,80.14,$-0.72,0.0
2021-12-31,111.07,$-0.80,0.0
2021-09-30,126.21,$-0.29,0.0
2021-06-30,138.19,$0.16,863.66
2021-03-31,113.49,$-0.53,0.0
2020-12-31,132.24,$-0.77,0.0
2020-09-30,120.08,$-0.81,0.0
2020-06-30,100.34,$-0.95,0.0
2020-03-31,70.63,$-1.10,0.0
2019-12-31,78.94,$-1.15,0.0
2019-09-30,67.42,$-0.96,0.0
2019-06-30,70.52,$-0.68,0.0
2019-03-31,64.34,$-0.40,0.0
2018-12-31,47.33,$0.12,394.38
2018-09-30,61.9,$-0.12,0.0
2018-06-30,54.16,$-0.05,0.0
2018-03-31,59.91,$0.22,272.32
2017-12-31,46.55,$0.40,116.38
2017-09-30,56.88,$0.55,103.42
2017-06-30,57.54,$0.61,94.33
2017-03-31,43.22,$0.52,83.12
2016-12-31,35.46,$0.30,118.2
2016-09-30,29.02,$0.45,64.5
2016-06-30,26.5,$0.50,52.99
2016-03-31,24.92,$0.49,50.87
2015-12-31,26.97,$0.46,58.64
2015-09-30,24.11,$0.46,52.42
2015-06-30,22.4,$0.40,56.0
2015-03-31,21.26,$0.38,55.94
2014-12-31,20.27,$0.42,48.27
2014-09-30,18.63,$0.36,51.74
2014-06-30,20.55,$0.45,45.67
2014-03-31,17.15,$0.49,35.0
2013-12-31,23.88,$0.49,49.23
2013-09-30,19.32,$0.55,35.12
2013-06-30,16.06,$0.44,36.91
2013-03-31,13.6,$0.35,39.43
2012-12-31,10.98,$0.28,39.2
2012-09-30,14.03,$-0.01,0.0
2012-06-30,15.92,$0.06,265.34
2012-03-31,18.4,$0.12,153.36
2011-12-31,14.17,$0.13,108.98
2011-09-30,14.74,$0.09,163.73
2011-06-30,22.39,$0.07,344.42
2011-03-31,18.25,$-0.08,0.0
2010-12-31,17.59,$-0.09,0.0
2010-09-30,14.9,$0.06,248.31
2010-06-30,15.39,$0.10,153.92
2010-03-31,17.72,$0.36,49.22
2009-12-31,16.27,$0.43,38.28
