Lamar Advertising PE Ratio Historical Data,Lamar Advertising PE Ratio Historical Data,Lamar Advertising PE Ratio Historical Data,Lamar Advertising PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,135.96,,27.58
2024-06-30,118.27,$4.93,23.99
2024-03-31,116.82,$4.87,23.99
2023-12-31,102.83,$4.85,21.2
2023-09-30,79.83,$4.04,19.76
2023-06-30,93.55,$4.11,22.76
2023-03-31,92.94,$4.15,22.4
2022-12-31,86.7,$4.32,20.07
2022-09-30,74.57,$4.88,15.28
2022-06-30,78.51,$4.49,17.49
2022-03-31,102.23,$4.35,23.5
2021-12-31,105.71,$3.82,27.67
2021-09-30,97.59,$3.69,26.45
2021-06-30,89.02,$3.26,27.31
2021-03-31,79.48,$2.39,33.25
2020-12-31,69.86,$2.41,28.99
2020-09-30,55.22,$2.35,23.5
2020-06-30,55.31,$2.72,20.33
2020-03-31,42.2,$3.59,11.75
2019-12-31,72.35,$3.70,19.55
2019-09-30,65.67,$3.64,18.04
2019-06-30,63.92,$3.60,17.75
2019-03-31,62.02,$3.44,18.03
2018-12-31,53.48,$3.08,17.36
2018-09-30,59.37,$3.00,19.79
2018-06-30,51.53,$3.03,17.01
2018-03-31,47.41,$2.95,16.07
2017-12-31,54.53,$3.22,16.94
2017-09-30,49.8,$3.15,15.81
2017-06-30,52.77,$3.04,17.36
2017-03-31,52.99,$2.94,18.02
2016-12-31,47.16,$3.05,15.46
2016-09-30,45.29,$3.03,14.95
2016-06-30,45.4,$3.05,14.88
2016-03-31,41.61,$2.82,14.76
2015-12-31,40.08,$2.71,14.79
2015-09-30,34.47,$4.10,8.41
2015-06-30,37.47,$3.58,10.47
2015-03-31,38.18,$3.13,12.2
2014-12-31,34.15,$2.66,12.84
2014-09-30,30.88,$0.59,52.34
2014-06-30,33.23,$0.41,81.05
2014-03-31,31.98,$0.47,68.03
2013-12-31,32.76,$0.45,72.8
2013-09-30,29.49,$0.42,70.21
2013-06-30,27.2,$0.35,77.73
2013-03-31,30.46,$0.28,108.78
2012-12-31,24.3,$0.10,242.95
2012-09-30,23.23,$0.09,258.13
2012-06-30,17.93,$0.01,1793.14
2012-03-31,20.32,$-0.02,0.0
2011-12-31,17.24,$0.09,191.58
2011-09-30,10.68,$-0.06,0.0
2011-06-30,17.16,$-0.09,0.0
2011-03-31,23.16,$-0.31,0.0
2010-12-31,24.98,$-0.44,0.0
2010-09-30,19.95,$-0.58,0.0
2010-06-30,15.37,$-0.64,0.0
2010-03-31,21.54,$-0.67,0.0
2009-12-31,19.49,$-0.63,0.0
