T-Mobile US PE Ratio Historical Data,T-Mobile US PE Ratio Historical Data,T-Mobile US PE Ratio Historical Data,T-Mobile US PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,198.72,,25.35
2024-06-30,175.61,$7.84,22.4
2023-12-31,158.58,$6.93,22.88
2023-09-30,137.93,$6.44,21.42
2023-06-30,136.8,$6.62,20.66
2023-03-31,142.65,$5.16,27.64
2022-12-31,137.88,$3.49,39.51
2024-03-31,162.09,$2.88,56.28
2022-09-30,132.14,$1.22,108.31
2022-06-30,132.5,$1.37,96.72
2022-03-31,126.41,$2.24,56.43
2021-12-31,114.22,$2.41,47.4
2021-09-30,125.83,$2.67,47.13
2021-06-30,142.64,$3.12,45.72
2021-03-31,123.39,$2.43,50.78
2020-12-31,132.81,$2.79,47.6
2020-09-30,112.63,$3.06,36.81
2020-06-30,102.57,$3.07,33.41
2020-03-31,82.63,$4.07,20.3
2019-12-31,77.23,$4.03,19.16
2019-09-30,77.58,$3.91,19.84
2019-06-30,73.02,$3.83,19.06
2019-03-31,68.05,$3.66,18.59
2018-12-31,62.65,$3.38,18.53
2018-09-30,69.12,$5.74,12.04
2018-06-30,58.85,$5.44,10.82
2018-03-31,60.12,$5.19,11.58
2017-12-31,62.55,$5.21,12.01
2017-09-30,60.73,$2.55,23.81
2017-06-30,59.7,$2.34,25.51
2017-03-31,63.61,$1.92,33.13
2016-12-31,56.64,$1.68,33.71
2016-09-30,46.01,$1.57,29.31
2016-06-30,42.61,$1.30,32.78
2016-03-31,37.72,$1.47,25.66
2015-12-31,38.53,$0.82,46.99
2015-09-30,39.21,$0.60,65.35
2015-06-30,38.18,$0.26,146.86
2015-03-31,31.21,$-0.19,0.0
2014-12-31,26.53,$-0.15,0.0
2014-03-31,32.53,$-0.29,0.0
2013-12-31,33.13,0,0.0
2013-09-30,25.58,$0.21,121.79
2013-06-30,24.43,$0.14,174.53
2013-03-31,14.41,$1.20,12.01
2012-12-31,13.14,$1.92,6.84
2014-09-30,28.43,$1.86,15.29
2012-09-30,15.48,$2.48,6.24
2012-06-30,8.0,$1.82,4.39
2012-03-31,11.92,$1.46,8.17
2011-12-31,11.47,$1.66,6.91
2011-09-30,11.51,$1.24,9.28
2011-06-30,22.75,$1.30,17.5
2011-03-31,21.46,$1.28,16.77
2010-12-31,16.69,$1.08,15.46
2010-09-30,13.82,$1.18,11.72
2010-06-30,10.82,$1.16,9.33
2010-03-31,9.36,$0.86,10.88
2009-12-31,10.08,$0.98,10.29
2009-09-30,12.37,$1.28,9.66
