Southside Bancshares PE Ratio Historical Data,Southside Bancshares PE Ratio Historical Data,Southside Bancshares PE Ratio Historical Data,Southside Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.99,,13.01
2024-06-30,27.31,$2.69,10.15
2024-03-31,28.53,$2.69,10.61
2023-12-31,30.2,$2.81,10.75
2023-09-30,27.31,$3.11,8.78
2023-06-30,24.62,$3.35,7.35
2023-03-31,30.86,$3.33,9.27
2022-12-31,33.15,$3.27,10.14
2022-09-30,32.23,$3.28,9.83
2022-06-30,33.83,$3.34,10.13
2022-03-31,36.59,$3.20,11.44
2021-12-31,37.19,$3.47,10.72
2021-09-30,33.75,$3.48,9.7
2021-06-30,33.4,$3.40,9.82
2021-03-31,33.38,$3.40,9.82
2020-12-31,26.65,$2.48,10.74
2020-09-30,20.74,$2.10,9.87
2020-06-30,23.27,$1.86,12.51
2020-03-31,25.23,$1.76,14.33
2019-12-31,30.56,$2.20,13.89
2019-09-30,27.8,$2.19,12.69
2019-06-30,26.15,$2.19,11.94
2019-03-31,26.59,$2.21,12.03
2018-12-31,25.19,$2.11,11.94
2018-09-30,27.34,$1.94,14.09
2018-06-30,26.24,$1.85,14.19
2018-03-31,26.83,$1.77,15.16
2017-12-31,25.81,$1.82,14.2
2017-09-30,27.62,$1.91,14.48
2017-06-30,26.32,$1.89,13.89
2017-03-31,24.47,$1.82,13.41
2016-12-31,27.27,$1.82,14.99
2016-09-30,23.11,$1.83,12.65
2016-06-30,22.03,$1.78,12.4
2016-03-31,17.54,$1.77,9.94
2015-12-31,16.0,$1.61,9.96
2015-09-30,18.15,$1.00,18.1
2015-06-30,19.1,$0.86,22.24
2015-03-31,17.7,$0.94,18.9
2014-12-31,17.7,$0.98,18.02
2014-09-30,20.17,$1.73,11.64
2014-06-30,17.44,$1.80,9.67
2014-03-31,17.85,$1.79,9.98
2013-12-31,15.44,$1.80,8.56
2013-09-30,14.98,$1.61,9.32
2013-06-30,13.22,$1.66,7.99
2013-03-31,10.98,$1.54,7.11
2012-12-31,10.91,$1.61,6.79
2012-09-30,11.01,$1.72,6.38
2012-06-30,11.25,$1.86,6.05
2012-03-31,10.43,$2.01,5.19
2011-12-31,10.14,$1.89,5.37
2011-09-30,8.28,$1.74,4.75
2011-06-30,9.04,$1.72,5.26
2011-03-31,9.21,$1.63,5.66
2010-12-31,8.99,$1.82,4.94
2010-09-30,7.93,$1.95,4.08
2010-06-30,8.17,$1.92,4.26
2010-03-31,8.48,$1.93,4.39
2009-12-31,7.65,$2.02,3.79
