Chewy PE Ratio Historical Data,Chewy PE Ratio Historical Data,Chewy PE Ratio Historical Data,Chewy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.32,,35.76
2024-07-31,24.18,$0.82,29.49
2024-04-30,14.99,$0.18,83.28
2024-01-31,17.82,$0.08,222.75
2023-10-31,19.33,$0.02,966.5
2023-07-31,33.9,$0.11,308.18
2023-04-30,31.01,$0.12,258.42
2023-01-31,45.06,$0.11,409.64
2022-10-31,38.73,$-0.05,0.0
2022-07-31,38.81,$-0.14,0.0
2022-04-30,29.06,$-0.23,0.0
2022-01-31,47.61,$-0.18,0.0
2021-10-31,75.8,$0.02,3790.0
2021-07-31,83.7,$0.02,4185.0
2021-04-30,79.72,$-0.02,0.0
2021-01-31,101.82,$-0.23,0.0
2020-10-31,61.6,$-0.43,0.0
2020-07-31,52.49,$-0.55,0.0
2020-04-30,43.24,$-0.68,0.0
