Xencor PE Ratio Historical Data,Xencor PE Ratio Historical Data,Xencor PE Ratio Historical Data,Xencor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.36,,0.0
2024-06-30,18.93,$-2.89,0.0
2024-03-31,22.13,$-2.19,0.0
2023-12-31,21.23,$-2.10,0.0
2023-09-30,20.15,$-1.99,0.0
2023-06-30,24.97,$-2.14,0.0
2023-03-31,27.89,$-2.34,0.0
2022-12-31,26.04,$-0.93,0.0
2022-09-30,25.98,$0.48,54.13
2022-06-30,27.37,$0.34,80.5
2022-03-31,26.68,$1.78,14.99
2021-12-31,40.12,$1.35,29.72
2021-09-30,32.66,$-0.10,0.0
2021-06-30,34.49,$0.37,93.22
2021-03-31,43.06,$-1.11,0.0
2020-12-31,43.63,$-1.21,0.0
2020-09-30,38.79,$-1.44,0.0
2020-06-30,32.39,$-1.40,0.0
2020-03-31,29.88,$-1.07,0.0
2019-12-31,34.39,$0.45,76.42
2019-09-30,33.73,$0.60,56.22
2019-06-30,40.93,$0.83,49.31
2019-03-31,31.06,$0.65,47.78
2018-12-31,36.16,$-1.35,0.0
2018-09-30,38.97,$-1.28,0.0
2018-06-30,37.01,$-1.66,0.0
2018-03-31,29.98,$-1.35,0.0
2017-12-31,21.92,$-1.04,0.0
2017-09-30,22.92,$-1.00,0.0
2017-06-30,21.11,$-0.87,0.0
2017-03-31,23.92,$0.41,58.34
2016-12-31,26.32,$0.56,47.0
2016-09-30,24.49,$0.96,25.51
2016-06-30,18.99,$0.91,20.87
2016-03-31,13.42,$-0.44,0.0
2015-12-31,14.62,$-0.47,0.0
2015-09-30,12.23,$-0.70,0.0
2015-06-30,21.97,$-0.65,0.0
2015-03-31,15.32,$-0.43,0.0
2014-12-31,16.04,$-0.40,0.0
2014-09-30,9.31,$-0.48,0.0
