CGI PE Ratio Historical Data,CGI PE Ratio Historical Data,CGI PE Ratio Historical Data,CGI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,115.77,,21.88
2024-06-30,99.81,$5.29,18.87
2024-03-31,110.49,$5.19,21.29
2023-12-31,107.21,$5.13,20.9
2023-09-30,98.49,$5.09,19.35
2023-06-30,105.43,$4.94,21.34
2023-03-31,96.27,$4.82,19.97
2022-12-31,86.13,$4.73,18.21
2022-09-30,75.24,$4.73,15.91
2022-06-30,79.66,$4.67,17.06
2022-03-31,79.83,$4.60,17.35
2021-12-31,88.5,$4.45,19.89
2021-09-30,84.76,$4.28,19.8
2021-06-30,90.6,$3.90,23.23
2021-03-31,83.22,$3.51,23.71
2020-12-31,79.31,$3.33,23.82
2020-09-30,67.77,$3.13,21.65
2020-06-30,63.0,$3.31,19.03
2020-03-31,54.41,$3.43,15.86
2019-12-31,83.71,$3.41,24.55
2019-09-30,79.14,$3.44,23.01
2019-06-30,76.77,$3.33,23.05
2019-03-31,68.76,$3.27,21.03
2018-12-31,61.19,$3.15,19.43
2018-09-30,64.48,$3.08,20.94
2018-06-30,63.32,$2.85,22.22
2018-03-31,57.64,$2.76,20.88
2017-12-31,54.33,$2.70,20.12
2017-09-30,51.87,$2.60,19.95
2017-06-30,51.07,$2.72,18.78
2017-03-31,47.93,$2.72,17.62
2016-12-31,48.03,$2.70,17.79
2016-09-30,47.63,$2.59,18.39
2016-06-30,42.71,$2.47,17.29
2016-03-31,47.78,$2.43,19.66
2015-12-31,40.03,$2.42,16.54
2015-09-30,36.21,$2.45,14.78
2015-06-30,39.08,$2.48,15.76
2015-03-31,42.45,$2.48,17.12
2014-12-31,38.16,$2.49,15.33
2014-09-30,33.77,$2.44,13.84
2014-06-30,35.48,$2.27,15.63
2014-03-31,30.92,$2.17,14.25
2013-12-31,33.46,$1.87,17.89
2013-09-30,35.1,$1.40,25.07
2013-06-30,29.29,$0.40,73.23
2013-03-31,27.16,$0.18,150.89
2012-12-31,23.13,$0.22,105.14
2012-09-30,26.86,$0.55,48.84
2012-06-30,23.99,$1.39,17.26
2012-03-31,22.29,$1.52,14.66
2011-12-31,18.85,$1.56,12.08
2011-09-30,18.81,$1.62,11.61
2011-06-30,24.65,$1.66,14.85
2011-03-31,20.93,$1.49,14.05
2010-12-31,17.26,$1.33,12.98
2010-09-30,15.03,$1.24,12.12
2010-06-30,14.93,$1.19,12.55
2010-03-31,14.91,$1.13,13.19
2009-12-31,13.56,$1.06,12.79
