Intellia Therapeutics PE Ratio Historical Data,Intellia Therapeutics PE Ratio Historical Data,Intellia Therapeutics PE Ratio Historical Data,Intellia Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.98,,0.0
2024-06-30,22.38,$-5.48,0.0
2024-03-31,27.51,$-5.36,0.0
2023-12-31,30.49,$-5.41,0.0
2023-09-30,31.62,$-5.35,0.0
2023-06-30,40.78,$-5.46,0.0
2023-03-31,37.27,$-5.39,0.0
2022-12-31,34.89,$-6.18,0.0
2022-09-30,55.96,$-5.87,0.0
2022-06-30,51.76,$-5.35,0.0
2022-03-31,72.67,$-5.03,0.0
2021-12-31,118.24,$-3.76,0.0
2021-09-30,134.15,$-3.36,0.0
2021-06-30,161.91,$-2.86,0.0
2021-03-31,80.26,$-2.46,0.0
2020-12-31,54.4,$-2.40,0.0
2020-09-30,19.88,$-2.28,0.0
2020-06-30,21.02,$-2.30,0.0
2020-03-31,12.23,$-2.25,0.0
2019-12-31,14.67,$-2.11,0.0
2019-09-30,13.35,$-1.97,0.0
2019-06-30,16.37,$-2.01,0.0
2019-03-31,17.08,$-1.97,0.0
2018-12-31,13.65,$-1.99,0.0
2018-09-30,28.62,$-2.17,0.0
2018-06-30,27.36,$-2.08,0.0
2018-03-31,21.09,$-2.01,0.0
2017-12-31,19.22,$-1.86,0.0
2017-09-30,24.85,$-1.56,0.0
2017-06-30,16.0,$-1.34,0.0
2017-03-31,14.09,$-1.25,0.0
