Distribution Solutions PE Ratio Historical Data,Distribution Solutions PE Ratio Historical Data,Distribution Solutions PE Ratio Historical Data,Distribution Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.1,,0.0
2024-06-30,30.0,$-0.45,0.0
2024-03-31,35.48,$-0.42,0.0
2023-12-31,31.56,$-0.36,0.0
2023-09-30,26.0,$0.41,63.41
2023-06-30,26.03,$0.33,80.09
2022-12-31,18.43,$0.74,25.07
2022-09-30,14.09,$0.74,19.03
2022-06-30,25.7,$0.46,55.86
2022-03-31,19.27,$0.77,25.03
2021-12-31,27.38,$0.45,61.52
2023-03-31,22.73,$0.69,33.18
2021-09-30,25.01,$0.56,45.05
2021-06-30,26.76,$0.46,58.8
2021-03-31,25.93,$0.34,77.4
2020-12-31,25.46,$0.81,31.43
2020-09-30,20.52,$0.63,32.56
2020-06-30,16.13,$0.79,20.42
2020-03-31,13.36,$0.83,16.19
2019-12-31,26.05,$0.38,69.47
2019-09-30,19.37,$0.69,28.27
2019-06-30,18.37,$0.39,47.7
2019-03-31,15.68,$0.49,32.0
2018-12-31,15.8,$0.34,47.16
2018-09-30,16.95,$1.30,13.04
2018-06-30,12.18,$1.42,8.6
2018-03-31,12.63,$1.64,7.7
2017-12-31,12.38,$1.62,7.64
2017-09-30,12.6,$0.25,50.4
2017-06-30,11.08,$0.28,39.55
2017-03-31,11.23,$-0.11,0.0
2016-12-31,11.9,$-0.37,0.0
2016-09-30,8.87,$0.04,253.29
2016-06-30,9.93,$0.10,99.3
2015-12-31,11.68,$0.01,1167.5
2015-09-30,10.83,$0.07,166.54
2015-06-30,11.74,$-0.02,0.0
2015-03-31,11.61,$-0.16,0.0
2014-12-31,13.36,$-0.03,0.0
2016-03-31,9.79,$-0.05,0.0
2014-09-30,11.15,$-0.27,0.0
2014-06-30,8.15,$-0.26,0.0
2014-03-31,8.04,$-0.28,0.0
2013-12-31,6.13,$-0.29,0.0
2013-09-30,5.16,$-0.03,0.0
2013-06-30,6.42,$-0.14,0.0
2013-03-31,8.79,$-3.72,0.0
2012-12-31,4.95,$-3.64,0.0
2012-09-30,3.46,$-4.07,0.0
2012-06-30,4.63,$-4.12,0.0
2012-03-31,7.46,$-0.50,0.0
2011-12-31,7.56,$-0.28,0.0
2011-09-30,6.57,$0.02,328.48
2011-06-30,9.48,$0.35,27.46
2011-03-31,10.97,$0.39,28.5
2010-12-31,11.86,$0.41,29.27
2010-09-30,7.24,$0.43,17.03
2010-06-30,8.01,$0.32,25.41
2010-03-31,7.23,$0.33,22.26
2009-12-31,8.25,$-0.16,0.0
