Invesco PE Ratio Historical Data,Invesco PE Ratio Historical Data,Invesco PE Ratio Historical Data,Invesco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,17.09,,0.0
2024-06-30,14.78,$-0.75,0.0
2024-03-31,16.18,$-0.75,0.0
2023-12-31,17.18,$-0.74,0.0
2023-09-30,13.77,$1.31,10.51
2023-06-30,15.75,$1.41,11.17
2023-03-31,15.18,$1.38,11.0
2022-12-31,16.48,$1.49,11.06
2022-09-30,12.41,$2.00,6.2
2022-06-30,14.46,$2.32,6.23
2022-03-31,20.45,$2.85,7.18
2021-12-31,20.27,$3.00,6.76
2021-09-30,21.09,$2.54,8.3
2021-06-30,23.23,$2.24,10.37
2021-03-31,21.78,$1.54,14.14
2020-12-31,14.95,$1.14,13.12
2020-09-30,9.68,$1.07,9.05
2020-06-30,9.0,$1.02,8.83
2020-03-31,7.45,$1.02,7.31
2019-12-31,14.51,$1.28,11.34
2019-09-30,13.44,$1.17,11.49
2019-06-30,16.23,$1.46,11.12
2019-03-31,15.1,$1.96,7.7
2018-12-31,12.88,$2.14,6.02
2018-09-30,17.35,$2.85,6.09
2018-06-30,19.9,$2.85,6.98
2018-03-31,23.73,$2.84,8.35
2017-12-31,26.85,$2.74,9.8
2017-09-30,25.53,$2.30,11.1
2017-06-30,25.42,$2.23,11.4
2017-03-31,21.93,$2.19,10.01
2016-12-31,21.54,$2.05,10.51
2016-09-30,22.0,$1.98,11.11
2016-06-30,17.8,$1.98,8.99
2016-03-31,21.24,$2.04,10.41
2015-12-31,22.88,$2.26,10.12
2015-09-30,21.16,$2.40,8.82
2015-06-30,25.22,$2.41,10.46
2015-03-31,26.52,$2.44,10.87
2014-12-31,26.24,$2.27,11.56
2014-09-30,26.05,$2.29,11.38
2014-06-30,24.76,$2.21,11.2
2014-03-31,24.09,$2.03,11.87
2013-12-31,23.55,$2.09,11.27
2013-09-30,20.5,$1.80,11.39
2013-06-30,20.29,$1.67,12.15
2013-03-31,18.36,$1.56,11.77
2012-12-31,16.44,$1.50,10.96
2012-09-30,15.63,$1.59,9.83
2012-06-30,14.03,$1.57,8.94
2012-03-31,16.43,$1.62,10.14
2011-12-31,12.32,$1.57,7.84
2011-09-30,9.45,$1.50,6.3
2011-06-30,14.15,$1.46,9.69
2011-03-31,15.38,$1.16,13.26
2010-12-31,14.42,$0.99,14.56
2010-09-30,12.66,$0.87,14.55
2010-06-30,9.97,$0.79,12.63
2010-03-31,12.91,$0.88,14.67
2009-12-31,13.77,$0.75,18.36
