BrightView Holdings PE Ratio Historical Data,BrightView Holdings PE Ratio Historical Data,BrightView Holdings PE Ratio Historical Data,BrightView Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.71,,139.25
2024-06-30,13.3,$0.12,110.83
2024-03-31,11.9,$0.20,59.5
2023-12-31,8.42,$-0.20,0.0
2023-09-30,7.75,$-0.13,0.0
2023-06-30,7.18,$-0.09,0.0
2023-03-31,5.62,$-0.15,0.0
2022-12-31,6.89,$0.09,76.56
2022-09-30,7.94,$0.17,46.71
2022-06-30,12.0,$0.26,46.15
2022-03-31,13.61,$0.38,35.82
2021-12-31,14.08,$0.43,32.74
2021-09-30,14.76,$0.49,30.12
2021-06-30,16.12,$0.22,73.27
2021-03-31,16.87,$-0.22,0.0
2020-09-30,11.4,$-0.40,0.0
2020-06-30,11.2,$-0.10,0.0
2020-03-31,11.06,$-0.19,0.0
2019-12-31,16.87,$0.32,52.72
2019-09-30,17.15,$0.40,42.88
2020-12-31,15.12,$0.07,216.0
2019-06-30,18.71,$0.07,267.29
2019-03-31,14.4,$-0.26,0.0
