Dominion Energy PE Ratio Historical Data,Dominion Energy PE Ratio Historical Data,Dominion Energy PE Ratio Historical Data,Dominion Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,55.9,,29.42
2024-06-30,48.42,$1.90,25.49
2024-03-31,48.61,$1.94,25.06
2023-12-31,45.81,$2.33,19.66
2023-09-30,42.9,$1.96,21.89
2023-06-30,49.07,$2.70,18.17
2023-03-31,52.26,$1.43,36.54
2022-12-31,56.63,$1.09,51.95
2022-09-30,63.12,$2.79,22.63
2022-06-30,72.31,$2.67,27.08
2022-03-31,76.38,$3.58,21.33
2021-12-31,70.04,$3.98,17.6
2021-09-30,64.53,$3.17,20.36
2021-06-30,64.5,$2.79,23.12
2021-03-31,66.05,$1.05,62.91
2020-12-31,64.79,$-0.52,0.0
2020-09-30,67.47,$-0.02,0.0
2020-06-30,68.57,$0.74,92.67
2020-03-31,60.31,$2.20,27.41
2019-12-31,68.4,$1.68,40.71
2019-09-30,66.18,$1.33,49.76
2019-06-30,62.41,$1.46,42.74
2019-03-31,61.14,$2.10,29.11
2018-12-31,56.29,$3.73,15.09
2018-09-30,54.75,$5.01,10.93
2018-06-30,52.51,$4.74,11.08
2018-03-31,51.27,$4.67,10.98
2017-12-31,60.93,$4.91,12.41
2017-09-30,57.3,$3.39,16.9
2017-06-30,56.53,$3.46,16.34
2017-03-31,56.7,$3.57,15.88
2016-12-31,55.43,$3.44,16.11
2016-09-30,53.24,$3.31,16.09
2016-06-30,55.34,$3.21,17.24
2016-03-31,52.83,$3.18,16.61
2015-12-31,47.09,$3.21,14.67
2015-09-30,48.53,$3.03,16.02
2015-06-30,45.7,$2.93,15.6
2015-03-31,47.99,$2.50,19.2
2014-12-31,51.61,$2.24,23.04
2014-09-30,45.99,$2.56,17.97
2014-06-30,47.2,$2.64,17.88
2014-03-31,46.44,$2.72,17.08
2013-12-31,41.96,$2.93,14.32
2013-09-30,40.18,$1.53,26.26
2013-06-30,36.18,$0.91,39.76
2013-03-31,36.67,$1.01,36.31
2012-12-31,32.32,$1.01,32.0
2012-09-30,32.69,$2.02,16.18
2012-06-30,33.02,$2.35,14.05
2012-03-31,30.99,$2.48,12.5
2011-12-31,31.79,$2.44,13.03
2011-09-30,30.12,$2.52,11.95
2011-06-30,28.36,$2.81,10.09
2011-03-31,25.99,$5.21,4.99
2010-12-31,24.57,$4.68,5.25
2010-09-30,24.84,$4.53,5.48
2010-06-30,21.81,$4.55,4.79
2010-03-31,22.87,$2.33,9.82
2009-12-31,21.4,$2.46,8.7
